event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Eintracht Frankfurt vs Borussia Dortmund,Aaron Anselmino,Over 0.5,3.6,Open,Antal afslutninger på mål | Aaron Anselmino,
Eintracht Frankfurt vs Borussia Dortmund,Aaron Anselmino,Over 1.5,20.0,Open,Antal afslutninger på mål | Aaron Anselmino,
Eintracht Frankfurt vs Borussia Dortmund,Almugera Kabar,Over 0.5,4.5,Open,Antal afslutninger på mål | Almugera Kabar,
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 0.5,1.6471,Open,Antal afslutninger på mål | Ansgar Knauff,
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 1.5,4.25,Open,Antal afslutninger på mål | Ansgar Knauff,
Eintracht Frankfurt vs Borussia Dortmund,Arnaud Kalimuendo,Over 0.5,1.35,Open,Antal afslutninger på mål | Arnaud Kalimuendo,
Eintracht Frankfurt vs Borussia Dortmund,Arnaud Kalimuendo,Over 1.5,2.9,Open,Antal afslutninger på mål | Arnaud Kalimuendo,
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 0.5,3.0,Open,Antal afslutninger på mål | Arthur Theate,
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 1.5,14.0,Open,Antal afslutninger på mål | Arthur Theate,
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 0.5,4.0,Open,Antal afslutninger på mål | Aurele Amenda,
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 0.5,3.5,Open,Antal afslutninger på mål | Aurelio Buta,
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 1.5,19.0,Open,Antal afslutninger på mål | Aurelio Buta,
Eintracht Frankfurt vs Borussia Dortmund,Can Yılmaz Uzun,Over 0.5,1.48,Open,Antal afslutninger på mål | Can Yılmaz Uzun,
Eintracht Frankfurt vs Borussia Dortmund,Can Yılmaz Uzun,Over 1.5,3.5,Open,Antal afslutninger på mål | Can Yılmaz Uzun,
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 0.5,1.75,Open,Antal afslutninger på mål | Carney Chukwuemeka,
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 1.5,5.0,Open,Antal afslutninger på mål | Carney Chukwuemeka,
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 0.5,2.6667,Open,Antal afslutninger på mål | Daniel Svensson,
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 1.5,11.0,Open,Antal afslutninger på mål | Daniel Svensson,
Eintracht Frankfurt vs Borussia Dortmund,Ellyes Skhiri,Over 0.5,3.8,Open,Antal afslutninger på mål | Ellyes Skhiri,
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 0.5,2.6667,Open,Antal afslutninger på mål | Emre Can,
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 1.5,11.0,Open,Antal afslutninger på mål | Emre Can,
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 0.5,1.875,Open,Antal afslutninger på mål | Felix Nmecha,
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 1.5,5.5,Open,Antal afslutninger på mål | Felix Nmecha,
Eintracht Frankfurt vs Borussia Dortmund,Filippo Calixte Mane,Over 0.5,3.2,Open,Antal afslutninger på mål | Filippo Calixte Mane,
Eintracht Frankfurt vs Borussia Dortmund,Filippo Calixte Mane,Over 1.5,16.0,Open,Antal afslutninger på mål | Filippo Calixte Mane,
Eintracht Frankfurt vs Borussia Dortmund,Fousseny Max Doumbia,Over 0.5,4.5,Open,Antal afslutninger på mål | Fousseny Max Doumbia,
Eintracht Frankfurt vs Borussia Dortmund,Fábio Sivla,Over 0.5,1.3847,Open,Antal afslutninger på mål | Fábio Sivla,
Eintracht Frankfurt vs Borussia Dortmund,Fábio Sivla,Over 1.5,3.0,Open,Antal afslutninger på mål | Fábio Sivla,
Eintracht Frankfurt vs Borussia Dortmund,"Guirassy, Serhou",Over 0.5,1.2308,Open,"Antal afslutninger på mål | Guirassy, Serhou",
Eintracht Frankfurt vs Borussia Dortmund,"Guirassy, Serhou",Over 1.5,2.3,Open,"Antal afslutninger på mål | Guirassy, Serhou",
Eintracht Frankfurt vs Borussia Dortmund,"Guirassy, Serhou",Over 2.5,5.0,Open,"Antal afslutninger på mål | Guirassy, Serhou",
Eintracht Frankfurt vs Borussia Dortmund,Hugo Larsson,Over 0.5,3.1,Open,Antal afslutninger på mål | Hugo Larsson,
Eintracht Frankfurt vs Borussia Dortmund,Hugo Larsson,Over 1.5,15.0,Open,Antal afslutninger på mål | Hugo Larsson,
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 0.5,1.5455,Open,Antal afslutninger på mål | Jean Matteo Bahoya,
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 1.5,4.0,Open,Antal afslutninger på mål | Jean Matteo Bahoya,
