event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 0.5,1.88,Open,Antal afslutninger på mål | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 1.5,5.4,Open,Antal afslutninger på mål | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 2.5,14.0,Open,Antal afslutninger på mål | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 3.5,22.0,Open,Antal afslutninger på mål | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 0.5,3.1,Open,Antal afslutninger på mål | Arthur Theate,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 1.5,12.5,Open,Antal afslutninger på mål | Arthur Theate,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 2.5,23.0,Open,Antal afslutninger på mål | Arthur Theate,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 0.5,5.5,Open,Antal afslutninger på mål | Aurele Amenda,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 1.5,21.0,Open,Antal afslutninger på mål | Aurele Amenda,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 0.5,4.35,Open,Antal afslutninger på mål | Aurelio Buta,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 1.5,18.0,Open,Antal afslutninger på mål | Aurelio Buta,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 2.5,24.0,Open,Antal afslutninger på mål | Aurelio Buta,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ayman Azhil,Over 0.5,4.55,Open,Antal afslutninger på mål | Ayman Azhil,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ayman Azhil,Over 1.5,18.5,Open,Antal afslutninger på mål | Ayman Azhil,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ayman Azhil,Over 2.5,25.0,Open,Antal afslutninger på mål | Ayman Azhil,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Can Uzun,Over 0.5,1.72,Open,Antal afslutninger på mål | Can Uzun,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Can Uzun,Over 1.5,4.4,Open,Antal afslutninger på mål | Can Uzun,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Can Uzun,Over 2.5,11.75,Open,Antal afslutninger på mål | Can Uzun,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Can Uzun,Over 3.5,21.0,Open,Antal afslutninger på mål | Can Uzun,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 0.5,2.87,Open,Antal afslutninger på mål | Carney Chukwuemeka,2026-01-09T19:30:00+00:00
