event,player,selectionLabel,odds_decimal_betinia,status_selection_betinia,marketLabel,deadline_x,odds_decimal_expekt,status_selection_expekt,deadline_y,odds_decimal_betano,status_selection_betano,deadline,payout_betinia,payout_expekt,payout_betano,ratio_betinia_over_expekt,ratio_expekt_over_betinia,ratio_betinia_over_betano,ratio_betano_over_betinia,ratio_expekt_over_betano,ratio_betano_over_expekt,best_payout,best_bookmaker,second_best_payout,ratio_best_over_second
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 2.5,,,Spillers samlede antal skud | Nathaniel Brown,,4.0,Open,2026-01-09T19:30:00+00:00,16.5,Open,2026-01-09T19:30:00+00:00,,4.0,16.5,,,,,0.24242424242424243,4.125,16.5,Betano,4.0,4.125
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 2.5,,,Spillers samlede antal skud | Yan Couto,,3.4,Open,2026-01-09T19:30:00+00:00,11.0,Open,2026-01-09T19:30:00+00:00,,3.4,11.0,,,,,0.3090909090909091,3.235294117647059,11.0,Betano,3.4,3.235294117647059
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 2.5,7.5,Open,Spillers samlede antal tacklinger | Ansgar Knauff,nan,2.38,Open,2026-01-09T19:30:00+00:00,,,,7.5,2.38,,3.151260504201681,0.3173333333333333,,,,,7.5,Betinia,2.38,3.151260504201681
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 3.5,,,Spillers samlede antal skud | Yan Couto,,6.5,Open,2026-01-09T19:30:00+00:00,20.0,Open,2026-01-09T19:30:00+00:00,,6.5,20.0,,,,,0.325,3.076923076923077,20.0,Betano,6.5,3.076923076923077
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 3.5,,,Spillers samlede antal skud | Nathaniel Brown,,8.0,Open,2026-01-09T19:30:00+00:00,23.0,Open,2026-01-09T19:30:00+00:00,,8.0,23.0,,,,,0.34782608695652173,2.875,23.0,Betano,8.0,2.875
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 1.5,,,Antal afslutninger på mål | Yan Couto,,5.5,Open,2026-01-09T19:30:00+00:00,15.5,Open,2026-01-09T19:30:00+00:00,,5.5,15.5,,,,,0.3548387096774194,2.8181818181818183,15.5,Betano,5.5,2.8181818181818183
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 2.5,6.6667,Open,Spillers samlede antal tacklinger | Karim Adeyemi,nan,2.4,Open,2026-01-09T19:30:00+00:00,,,,6.6667,2.4,,2.7777916666666664,0.35999820000899996,,,,,6.6667,Betinia,2.4,2.7777916666666664
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 1.5,3.6667,Open,Spillers samlede antal tacklinger | Ansgar Knauff,nan,1.4,Open,2026-01-09T19:30:00+00:00,,,,3.6667,1.4,,2.619071428571429,0.38181471077535656,,,,,3.6667,Betinia,1.4,2.619071428571429
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 1.5,3.6,Open,Spillers samlede antal tacklinger | Karim Adeyemi,nan,1.44,Open,2026-01-09T19:30:00+00:00,,,,3.6,1.44,,2.5,0.39999999999999997,,,,,3.6,Betinia,1.44,2.5
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 1.5,,,Spillers samlede antal skud | Yan Couto,,1.73,Open,2026-01-09T19:30:00+00:00,4.15,Open,2026-01-09T19:30:00+00:00,,1.73,4.15,,,,,0.41686746987951806,2.3988439306358385,4.15,Betano,1.73,2.3988439306358385
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 4.5,,,Spillers samlede antal skud | Ansgar Knauff,,6.5,Open,2026-01-09T19:30:00+00:00,15.5,Open,2026-01-09T19:30:00+00:00,,6.5,15.5,,,,,0.41935483870967744,2.3846153846153846,15.5,Betano,6.5,2.3846153846153846
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 3.5,,,Spillers samlede antal skud | Daniel Svensson,,8.0,Open,2026-01-09T19:30:00+00:00,18.5,Open,2026-01-09T19:30:00+00:00,,8.0,18.5,,,,,0.43243243243243246,2.3125,18.5,Betano,8.0,2.3125
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 1.5,4.0,Open,Spillers samlede antal tacklinger | Jessic Ngankam,nan,1.73,Open,2026-01-09T19:30:00+00:00,,,,4.0,1.73,,2.3121387283236996,0.4325,,,,,4.0,Betinia,1.73,2.3121387283236996
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 3.5,,,Spillers samlede antal skud | Mario Gotze,,4.5,Open,2026-01-09T19:30:00+00:00,10.25,Open,2026-01-09T19:30:00+00:00,,4.5,10.25,,,,,0.43902439024390244,2.2777777777777777,10.25,Betano,4.5,2.2777777777777777
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 1.5,2.8572,Open,Spillers samlede antal skud | Nathaniel Brown,nan,1.91,Open,2026-01-09T19:30:00+00:00,6.5,Open,2026-01-09T19:30:00+00:00,2.8572,1.91,6.5,1.4959162303664923,0.6684866302673946,0.4395692307692308,2.2749545009099816,0.2938461538461538,3.4031413612565444,6.5,Betano,2.8572,2.2749545009099816
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 1.5,5.0,Open,Antal afslutninger på mål | Carney Chukwuemeka,nan,4.5,Open,2026-01-09T19:30:00+00:00,11.25,Open,2026-01-09T19:30:00+00:00,5.0,4.5,11.25,1.1111111111111112,0.9,0.4444444444444444,2.25,0.4,2.5,11.25,Betano,5.0,2.25
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 4.5,,,Spillers samlede antal skud | Mario Gotze,,8.0,Open,2026-01-09T19:30:00+00:00,18.0,Open,2026-01-09T19:30:00+00:00,,8.0,18.0,,,,,0.4444444444444444,2.25,18.0,Betano,8.0,2.25
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 2.5,7.5,Open,Spillers samlede antal tacklinger | Jessic Ngankam,nan,3.4,Open,2026-01-09T19:30:00+00:00,,,,7.5,3.4,,2.2058823529411766,0.4533333333333333,,,,,7.5,Betinia,3.4,2.2058823529411766
