event,player,selectionLabel,odds_decimal_betinia,status_selection_betinia,marketLabel,deadline_x,odds_decimal_expekt,status_selection_expekt,deadline_y,payout_betinia,payout_expekt,ratio_betinia_over_expekt,ratio_expekt_over_betinia,ratio_max,best_bookmaker,best_payout,other_bookmaker,other_payout
Eintracht Frankfurt vs Borussia Dortmund,Aaron Anselmino,Over 0.5,3.6,Open,Antal afslutninger på mål | Aaron Anselmino,nan,,,,3.6,,,,,Expekt,,Betinia,3.6
Eintracht Frankfurt vs Borussia Dortmund,Aaron Anselmino,Over 1.5,20.0,Open,Antal afslutninger på mål | Aaron Anselmino,nan,,,,20.0,,,,,Expekt,,Betinia,20.0
Eintracht Frankfurt vs Borussia Dortmund,Almugera Kabar,Over 0.5,4.5,Open,Antal afslutninger på mål | Almugera Kabar,nan,,,,4.5,,,,,Expekt,,Betinia,4.5
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 0.5,1.6471,Open,Antal afslutninger på mål | Ansgar Knauff,nan,1.57,Open,2026-01-09T19:30:00+00:00,1.6471,1.57,1.049108280254777,0.9531904559528869,1.049108280254777,Betinia,1.6471,Expekt,1.57
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 1.5,4.25,Open,Antal afslutninger på mål | Ansgar Knauff,nan,4.0,Open,2026-01-09T19:30:00+00:00,4.25,4.0,1.0625,0.9411764705882353,1.0625,Betinia,4.25,Expekt,4.0
Eintracht Frankfurt vs Borussia Dortmund,Arnaud Kalimuendo,Over 0.5,1.35,Open,Antal afslutninger på mål | Arnaud Kalimuendo,nan,,,,1.35,,,,,Expekt,,Betinia,1.35
Eintracht Frankfurt vs Borussia Dortmund,Arnaud Kalimuendo,Over 1.5,2.9,Open,Antal afslutninger på mål | Arnaud Kalimuendo,nan,,,,2.9,,,,,Expekt,,Betinia,2.9
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 0.5,3.0,Open,Antal afslutninger på mål | Arthur Theate,nan,5.0,Open,2026-01-09T19:30:00+00:00,3.0,5.0,0.6,1.6666666666666667,1.6666666666666667,Expekt,5.0,Betinia,3.0
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 1.5,14.0,Open,Antal afslutninger på mål | Arthur Theate,nan,31.0,Open,2026-01-09T19:30:00+00:00,14.0,31.0,0.45161290322580644,2.2142857142857144,2.2142857142857144,Expekt,31.0,Betinia,14.0
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 0.5,4.0,Open,Antal afslutninger på mål | Aurele Amenda,nan,5.5,Open,2026-01-09T19:30:00+00:00,4.0,5.5,0.7272727272727273,1.375,1.375,Expekt,5.5,Betinia,4.0
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 0.5,3.5,Open,Antal afslutninger på mål | Aurelio Buta,nan,4.2,Open,2026-01-09T19:30:00+00:00,3.5,4.2,0.8333333333333333,1.2,1.2,Expekt,4.2,Betinia,3.5
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 1.5,19.0,Open,Antal afslutninger på mål | Aurelio Buta,nan,21.0,Open,2026-01-09T19:30:00+00:00,19.0,21.0,0.9047619047619048,1.105263157894737,1.105263157894737,Expekt,21.0,Betinia,19.0
Eintracht Frankfurt vs Borussia Dortmund,Can Yılmaz Uzun,Over 0.5,1.48,Open,Antal afslutninger på mål | Can Yılmaz Uzun,nan,,,,1.48,,,,,Expekt,,Betinia,1.48
Eintracht Frankfurt vs Borussia Dortmund,Can Yılmaz Uzun,Over 1.5,3.5,Open,Antal afslutninger på mål | Can Yılmaz Uzun,nan,,,,3.5,,,,,Expekt,,Betinia,3.5
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 0.5,1.75,Open,Antal afslutninger på mål | Carney Chukwuemeka,nan,1.7,Open,2026-01-09T19:30:00+00:00,1.75,1.7,1.0294117647058825,0.9714285714285714,1.0294117647058825,Betinia,1.75,Expekt,1.7
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 1.5,5.0,Open,Antal afslutninger på mål | Carney Chukwuemeka,nan,4.5,Open,2026-01-09T19:30:00+00:00,5.0,4.5,1.1111111111111112,0.9,1.1111111111111112,Betinia,5.0,Expekt,4.5
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 0.5,2.6667,Open,Antal afslutninger på mål | Daniel Svensson,nan,1.95,Open,2026-01-09T19:30:00+00:00,2.6667,1.95,1.3675384615384616,0.7312408594892563,1.3675384615384616,Betinia,2.6667,Expekt,1.95
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 1.5,11.0,Open,Antal afslutninger på mål | Daniel Svensson,nan,6.0,Open,2026-01-09T19:30:00+00:00,11.0,6.0,1.8333333333333333,0.5454545454545454,1.8333333333333333,Betinia,11.0,Expekt,6.0
Eintracht Frankfurt vs Borussia Dortmund,Ellyes Skhiri,Over 0.5,3.8,Open,Antal afslutninger på mål | Ellyes Skhiri,nan,,,,3.8,,,,,Expekt,,Betinia,3.8
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 0.5,2.6667,Open,Antal afslutninger på mål | Emre Can,nan,4.0,Open,2026-01-09T19:30:00+00:00,2.6667,4.0,0.666675,1.4999812502343721,1.4999812502343721,Expekt,4.0,Betinia,2.6667
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 1.5,11.0,Open,Antal afslutninger på mål | Emre Can,nan,17.0,Open,2026-01-09T19:30:00+00:00,11.0,17.0,0.6470588235294118,1.5454545454545454,1.5454545454545454,Expekt,17.0,Betinia,11.0
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 0.5,1.875,Open,Antal afslutninger på mål | Felix Nmecha,nan,2.6,Open,2026-01-09T19:30:00+00:00,1.875,2.6,0.7211538461538461,1.3866666666666667,1.3866666666666667,Expekt,2.6,Betinia,1.875
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 1.5,5.5,Open,Antal afslutninger på mål | Felix Nmecha,nan,8.5,Open,2026-01-09T19:30:00+00:00,5.5,8.5,0.6470588235294118,1.5454545454545454,1.5454545454545454,Expekt,8.5,Betinia,5.5
Eintracht Frankfurt vs Borussia Dortmund,Filippo Calixte Mane,Over 0.5,3.2,Open,Antal afslutninger på mål | Filippo Calixte Mane,nan,,,,3.2,,,,,Expekt,,Betinia,3.2
Eintracht Frankfurt vs Borussia Dortmund,Filippo Calixte Mane,Over 1.5,16.0,Open,Antal afslutninger på mål | Filippo Calixte Mane,nan,,,,16.0,,,,,Expekt,,Betinia,16.0
Eintracht Frankfurt vs Borussia Dortmund,Fousseny Max Doumbia,Over 0.5,4.5,Open,Antal afslutninger på mål | Fousseny Max Doumbia,nan,,,,4.5,,,,,Expekt,,Betinia,4.5
Eintracht Frankfurt vs Borussia Dortmund,Fábio Sivla,Over 0.5,1.3847,Open,Antal afslutninger på mål | Fábio Sivla,nan,,,,1.3847,,,,,Expekt,,Betinia,1.3847
Eintracht Frankfurt vs Borussia Dortmund,Fábio Sivla,Over 1.5,3.0,Open,Antal afslutninger på mål | Fábio Sivla,nan,,,,3.0,,,,,Expekt,,Betinia,3.0
Eintracht Frankfurt vs Borussia Dortmund,"Guirassy, Serhou",Over 0.5,1.2308,Open,"Antal afslutninger på mål | Guirassy, Serhou",nan,,,,1.2308,,,,,Expekt,,Betinia,1.2308
Eintracht Frankfurt vs Borussia Dortmund,"Guirassy, Serhou",Over 1.5,2.3,Open,"Antal afslutninger på mål | Guirassy, Serhou",nan,,,,2.3,,,,,Expekt,,Betinia,2.3
