event,player,selectionLabel,marketLabel,deadline,status_selection_betsson,odds_decimal_betsson,status_selection_betano,odds_decimal_betano,status_selection_expekt,odds_decimal_expekt
Arsenal vs Liverpool,Alexis Mac Allister,Over 0.5,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00+00:00,Open,1.22,,,Open,1.09
Arsenal vs Liverpool,Alexis Mac Allister,Over 1.5,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00+00:00,Open,2.05,Open,2.86,Open,1.5
Arsenal vs Liverpool,Alexis Mac Allister,Over 2.5,Spiller Frispark Begået | Alexis Mac Allister,,Open,4.0,,,,
Arsenal vs Liverpool,Amara Nallo,Over 0.5,Spiller Frispark Begået | Amara Nallo,,Open,1.35,Open,1.79,,
Arsenal vs Liverpool,Amara Nallo,Over 1.5,Spiller Frispark Begået | Amara Nallo,,Open,2.65,,,,
Arsenal vs Liverpool,Amara Nallo,Over 2.5,Spiller Frispark Begået | Amara Nallo,,Open,6.0,,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 0.5,Spiller Frispark Begået | Andre HarrimanAnnous,,Open,1.35,,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 1.5,Spiller Frispark Begået | Andre HarrimanAnnous,,Open,2.65,,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 2.5,Spiller Frispark Begået | Andre HarrimanAnnous,,Open,6.0,,,,
Arsenal vs Liverpool,Andrew Robertson,Over 0.5,Spiller Frispark Begået | Andrew Robertson,,Open,1.65,Open,1.69,,
Arsenal vs Liverpool,Andrew Robertson,Over 1.5,Spiller Frispark Begået | Andrew Robertson,,Open,4.0,,,,
Arsenal vs Liverpool,Ben White,Over 0.5,Spiller Frispark Begået | Ben White,2026-01-08T20:00:00+00:00,Open,1.48,Open,1.63,Open,1.53
Arsenal vs Liverpool,Ben White,Over 1.5,Spiller Frispark Begået | Ben White,2026-01-08T20:00:00+00:00,Open,3.2,,,Open,3.8
Arsenal vs Liverpool,Bukayo Saka,Over 0.5,Spiller Frispark Begået | Bukayo Saka,2026-01-08T20:00:00+00:00,Open,1.35,,,Open,1.36
Arsenal vs Liverpool,Bukayo Saka,Over 1.5,Spiller Frispark Begået | Bukayo Saka,2026-01-08T20:00:00+00:00,Open,2.65,Open,2.57,Open,3.0
Arsenal vs Liverpool,Bukayo Saka,Over 2.5,Spiller Frispark Begået | Bukayo Saka,,Open,6.0,,,,
Arsenal vs Liverpool,Calvin Ramsay,Over 0.5,Spiller Frispark Begået | Calvin Ramsay,2026-01-08T20:00:00+00:00,Open,1.4,Open,1.59,Open,1.53
Arsenal vs Liverpool,Calvin Ramsay,Over 1.5,Spiller Frispark Begået | Calvin Ramsay,2026-01-08T20:00:00+00:00,Open,2.75,,,Open,3.8
Arsenal vs Liverpool,Carter Pinnington,Over 0.5,Spiller Frispark Begået | Carter Pinnington,,Open,1.35,Open,1.79,,
Arsenal vs Liverpool,Carter Pinnington,Over 1.5,Spiller Frispark Begået | Carter Pinnington,,Open,2.65,,,,
Arsenal vs Liverpool,Carter Pinnington,Over 2.5,Spiller Frispark Begået | Carter Pinnington,,Open,6.0,,,,
Arsenal vs Liverpool,Charles Sagoe Jr,Over 0.5,Spiller Frispark Begået | Charles Sagoe Jr,,Open,1.65,,,,
Arsenal vs Liverpool,Charles Sagoe Jr,Over 1.5,Spiller Frispark Begået | Charles Sagoe Jr,,Open,3.9,,,,
Arsenal vs Liverpool,Christian Nørgaard,Over 0.5,Spiller Frispark Begået | Christian Nørgaard,,Open,1.14,,,,
Arsenal vs Liverpool,Christian Nørgaard,Over 1.5,Spiller Frispark Begået | Christian Nørgaard,,Open,1.75,Open,2.27,,
Arsenal vs Liverpool,Christian Nørgaard,Over 2.5,Spiller Frispark Begået | Christian Nørgaard,,Open,3.2,,,,
Arsenal vs Liverpool,Cody Gakpo,Over 0.5,Spiller Frispark Begået | Cody Gakpo,2026-01-08T20:00:00+00:00,Open,1.27,,,Open,1.4
Arsenal vs Liverpool,Cody Gakpo,Over 1.5,Spiller Frispark Begået | Cody Gakpo,2026-01-08T20:00:00+00:00,Open,2.25,Open,2.76,Open,3.0
Arsenal vs Liverpool,Cody Gakpo,Over 2.5,Spiller Frispark Begået | Cody Gakpo,,Open,4.75,,,,
Arsenal vs Liverpool,Conor Bradley,Over 0.5,Spiller Frispark Begået | Conor Bradley,2026-01-08T20:00:00+00:00,Open,1.22,,,Open,1.12
Arsenal vs Liverpool,Conor Bradley,Over 1.5,Spiller Frispark Begået | Conor Bradley,2026-01-08T20:00:00+00:00,Open,2.05,Open,2.65,Open,1.67
Arsenal vs Liverpool,Conor Bradley,Over 2.5,Spiller Frispark Begået | Conor Bradley,,Open,4.0,,,,
Arsenal vs Liverpool,Cristhian Mosquera,Over 0.5,Spiller Frispark Begået | Cristhian Mosquera,,Open,2.65,Open,1.78,,
Arsenal vs Liverpool,Cristhian Mosquera,Over 1.5,Spiller Frispark Begået | Cristhian Mosquera,,Open,9.0,,,,
Arsenal vs Liverpool,Curtis Jones,Over 0.5,Spiller Frispark Begået | Curtis Jones,2026-01-08T20:00:00+00:00,Open,1.58,,,Open,1.3
Arsenal vs Liverpool,Curtis Jones,Over 1.5,Spiller Frispark Begået | Curtis Jones,2026-01-08T20:00:00+00:00,Open,3.6,Open,2.86,Open,2.5
Arsenal vs Liverpool,Declan Rice,Over 0.5,Spiller Frispark Begået | Declan Rice,2026-01-08T20:00:00+00:00,Open,1.6,,,Open,1.44
Arsenal vs Liverpool,Declan Rice,Over 1.5,Spiller Frispark Begået | Declan Rice,2026-01-08T20:00:00+00:00,Open,3.7,Open,2.82,Open,3.4
Arsenal vs Liverpool,Dominik Szoboszlai,Over 0.5,Spiller Frispark Begået | Dominik Szoboszlai,2026-01-08T20:00:00+00:00,Open,1.32,,,Open,1.18
Arsenal vs Liverpool,Dominik Szoboszlai,Over 1.5,Spiller Frispark Begået | Dominik Szoboszlai,2026-01-08T20:00:00+00:00,Open,2.5,Open,3.09,Open,2.0
Arsenal vs Liverpool,Dominik Szoboszlai,Over 2.5,Spiller Frispark Begået | Dominik Szoboszlai,,Open,5.5,,,,
Arsenal vs Liverpool,Eberechi Eze,Over 0.5,Spiller Frispark Begået | Eberechi Eze,2026-01-08T20:00:00+00:00,Open,1.82,Open,1.54,Open,1.57
Arsenal vs Liverpool,Eberechi Eze,Over 1.5,Spiller Frispark Begået | Eberechi Eze,2026-01-08T20:00:00+00:00,Open,4.75,,,Open,4.0
Arsenal vs Liverpool,Ethan Nwaneri,Over 0.5,Spiller Frispark Begået | Ethan Nwaneri,2026-01-08T20:00:00+00:00,Open,1.5,Open,1.63,Open,1.53
Arsenal vs Liverpool,Ethan Nwaneri,Over 1.5,Spiller Frispark Begået | Ethan Nwaneri,2026-01-08T20:00:00+00:00,Open,3.2,,,Open,3.8
Arsenal vs Liverpool,Federico Chiesa,Over 0.5,Spiller Frispark Begået | Federico Chiesa,2026-01-08T20:00:00+00:00,Open,1.3,,,Open,1.36
Arsenal vs Liverpool,Federico Chiesa,Over 1.5,Spiller Frispark Begået | Federico Chiesa,2026-01-08T20:00:00+00:00,Open,2.35,Open,2.92,Open,2.88
Arsenal vs Liverpool,Federico Chiesa,Over 2.5,Spiller Frispark Begået | Federico Chiesa,,Open,5.0,,,,
Arsenal vs Liverpool,Florian Wirtz,Over 0.5,Spiller Frispark Begået | Florian Wirtz,2026-01-08T20:00:00+00:00,Open,1.6,Open,1.55,Open,1.44
Arsenal vs Liverpool,Florian Wirtz,Over 1.5,Spiller Frispark Begået | Florian Wirtz,2026-01-08T20:00:00+00:00,Open,3.7,,,Open,3.25
Arsenal vs Liverpool,Gabriel Jesus,Over 0.5,Spiller Frispark Begået | Gabriel Jesus,,Open,1.17,,,,
Arsenal vs Liverpool,Gabriel Jesus,Over 1.5,Spiller Frispark Begået | Gabriel Jesus,,Open,1.85,Open,2.51,,
Arsenal vs Liverpool,Gabriel Jesus,Over 2.5,Spiller Frispark Begået | Gabriel Jesus,,Open,3.5,,,,
Arsenal vs Liverpool,Gabriel Magalhaes,Over 0.5,Spiller Frispark Begået | Gabriel Magalhaes,2026-01-08T20:00:00+00:00,Open,1.78,,,Open,1.67
Arsenal vs Liverpool,Gabriel Magalhaes,Over 1.5,Spiller Frispark Begået | Gabriel Magalhaes,2026-01-08T20:00:00+00:00,Open,4.5,,,Open,4.5
Arsenal vs Liverpool,Gabriel Martinelli,Over 0.5,Spiller Frispark Begået | Gabriel Martinelli,2026-01-08T20:00:00+00:00,Open,1.78,Open,1.61,Open,1.44
Arsenal vs Liverpool,Gabriel Martinelli,Over 1.5,Spiller Frispark Begået | Gabriel Martinelli,2026-01-08T20:00:00+00:00,Open,4.5,,,Open,3.4
Arsenal vs Liverpool,Giovanni Leoni,Over 0.5,Spiller Frispark Begået | Giovanni Leoni,,Open,1.58,Open,1.75,,
Arsenal vs Liverpool,Giovanni Leoni,Over 1.5,Spiller Frispark Begået | Giovanni Leoni,,Open,3.6,,,,
Arsenal vs Liverpool,Hugo Ekitike,Over 0.5,Spiller Frispark Begået | Hugo Ekitike,2026-01-08T20:00:00+00:00,Open,1.16,,,Open,1.2
Arsenal vs Liverpool,Hugo Ekitike,Over 1.5,Spiller Frispark Begået | Hugo Ekitike,2026-01-08T20:00:00+00:00,Open,1.82,Open,2.02,Open,2.05
Arsenal vs Liverpool,Hugo Ekitike,Over 2.5,Spiller Frispark Begået | Hugo Ekitike,,Open,3.4,,,,
Arsenal vs Liverpool,Ibrahima Konate,Over 0.5,Spiller Frispark Begået | Ibrahima Konate,2026-01-08T20:00:00+00:00,Open,1.28,,,Open,1.4
Arsenal vs Liverpool,Ibrahima Konate,Over 1.5,Spiller Frispark Begået | Ibrahima Konate,2026-01-08T20:00:00+00:00,Open,2.3,,,Open,3.2
Arsenal vs Liverpool,Ibrahima Konate,Over 2.5,Spiller Frispark Begået | Ibrahima Konate,,Open,4.75,,,,
Arsenal vs Liverpool,Jayden Danns,Over 0.5,Spiller Frispark Begået | Jayden Danns,,Open,1.45,,,,
Arsenal vs Liverpool,Jayden Danns,Over 1.5,Spiller Frispark Begået | Jayden Danns,,Open,3.0,Open,3.06,,
Arsenal vs Liverpool,Jeremie Frimpong,Over 0.5,Spiller Frispark Begået | Jeremie Frimpong,2026-01-08T20:00:00+00:00,Open,1.4,,,Open,1.5
Arsenal vs Liverpool,Jeremie Frimpong,Over 1.5,Spiller Frispark Begået | Jeremie Frimpong,2026-01-08T20:00:00+00:00,Open,2.75,Open,2.46,Open,3.5
Arsenal vs Liverpool,Joe Gomez,Over 0.5,Spiller Frispark Begået | Joe Gomez,,Open,1.3,,,,
Arsenal vs Liverpool,Joe Gomez,Over 1.5,Spiller Frispark Begået | Joe Gomez,,Open,2.35,Open,2.52,,
Arsenal vs Liverpool,Joe Gomez,Over 2.5,Spiller Frispark Begået | Joe Gomez,,Open,5.0,,,,
Arsenal vs Liverpool,Josh Nichols,Over 0.5,Spiller Frispark Begået | Josh Nichols,,Open,1.52,Open,1.63,,
Arsenal vs Liverpool,Josh Nichols,Over 1.5,Spiller Frispark Begået | Josh Nichols,,Open,3.4,,,,
Arsenal vs Liverpool,Jurrien Timber,Over 0.5,Spiller Frispark Begået | Jurrien Timber,2026-01-08T20:00:00+00:00,Open,1.24,,,Open,1.2
Arsenal vs Liverpool,Jurrien Timber,Over 1.5,Spiller Frispark Begået | Jurrien Timber,2026-01-08T20:00:00+00:00,Open,2.15,Open,2.94,Open,2.0
Arsenal vs Liverpool,Jurrien Timber,Over 2.5,Spiller Frispark Begået | Jurrien Timber,,Open,4.25,,,,
Arsenal vs Liverpool,Kai Havertz,Over 0.5,Spiller Frispark Begået | Kai Havertz,2026-01-08T20:00:00+00:00,Open,1.18,,,Open,1.22
Arsenal vs Liverpool,Kai Havertz,Over 1.5,Spiller Frispark Begået | Kai Havertz,2026-01-08T20:00:00+00:00,Open,1.9,Open,3.01,Open,2.2
Arsenal vs Liverpool,Kai Havertz,Over 2.5,Spiller Frispark Begået | Kai Havertz,,Open,3.7,,,,
Arsenal vs Liverpool,Kaide Gordon,Over 0.5,Spiller Frispark Begået | Kaide Gordon,,Open,1.35,Open,1.76,,
Arsenal vs Liverpool,Kaide Gordon,Over 1.5,Spiller Frispark Begået | Kaide Gordon,,Open,2.6,,,,
Arsenal vs Liverpool,Kaide Gordon,Over 2.5,Spiller Frispark Begået | Kaide Gordon,,Open,6.0,,,,
Arsenal vs Liverpool,Keyrol Figueroa,Over 0.5,Spiller Frispark Begået | Keyrol Figueroa,,Open,1.25,,,,
Arsenal vs Liverpool,Keyrol Figueroa,Over 1.5,Spiller Frispark Begået | Keyrol Figueroa,,Open,2.2,,,,
Arsenal vs Liverpool,Keyrol Figueroa,Over 2.5,Spiller Frispark Begået | Keyrol Figueroa,,Open,4.5,,,,
Arsenal vs Liverpool,Kieran Morrison,Over 0.5,Spiller Frispark Begået | Kieran Morrison,,Open,1.4,Open,1.52,,
Arsenal vs Liverpool,Kieran Morrison,Over 1.5,Spiller Frispark Begået | Kieran Morrison,,Open,2.85,,,,
Arsenal vs Liverpool,Leandro Trossard,Over 0.5,Spiller Frispark Begået | Leandro Trossard,2026-01-08T20:00:00+00:00,Open,1.78,Open,1.61,Open,1.44
Arsenal vs Liverpool,Leandro Trossard,Over 1.5,Spiller Frispark Begået | Leandro Trossard,2026-01-08T20:00:00+00:00,Open,4.5,,,Open,3.5
Arsenal vs Liverpool,Louie Copley,Over 0.5,Spiller Frispark Begået | Louie Copley,,Open,1.3,,,,
Arsenal vs Liverpool,Louie Copley,Over 1.5,Spiller Frispark Begået | Louie Copley,,Open,2.4,Open,2.82,,
Arsenal vs Liverpool,Louie Copley,Over 2.5,Spiller Frispark Begået | Louie Copley,,Open,5.0,,,,
Arsenal vs Liverpool,Marli Salmon,Over 0.5,Spiller Frispark Begået | Marli Salmon,,Open,1.6,Open,1.78,,
Arsenal vs Liverpool,Marli Salmon,Over 1.5,Spiller Frispark Begået | Marli Salmon,,Open,3.7,,,,
Arsenal vs Liverpool,Martin Zubimendi,Over 0.5,Spiller Frispark Begået | Martin Zubimendi,2026-01-08T20:00:00+00:00,Open,1.32,,,Open,1.33
Arsenal vs Liverpool,Martin Zubimendi,Over 1.5,Spiller Frispark Begået | Martin Zubimendi,2026-01-08T20:00:00+00:00,Open,2.45,Open,2.52,Open,2.8
Arsenal vs Liverpool,Martin Zubimendi,Over 2.5,Spiller Frispark Begået | Martin Zubimendi,,Open,5.5,,,,
Arsenal vs Liverpool,Martin Ødegaard,Over 0.5,Spiller Frispark Begået | Martin Ødegaard,,Open,1.95,,,,
Arsenal vs Liverpool,Martin Ødegaard,Over 1.5,Spiller Frispark Begået | Martin Ødegaard,,Open,5.5,,,,
Arsenal vs Liverpool,Max Dowman,Over 0.5,Spiller Frispark Begået | Max Dowman,,Open,1.55,,,,
Arsenal vs Liverpool,Max Dowman,Over 1.5,Spiller Frispark Begået | Max Dowman,,Open,3.4,Open,3.12,,
Arsenal vs Liverpool,Michael Laffey,Over 0.5,Spiller Frispark Begået | Michael Laffey,,Open,1.22,,,,
Arsenal vs Liverpool,Michael Laffey,Over 1.5,Spiller Frispark Begået | Michael Laffey,,Open,2.05,Open,2.76,,
Arsenal vs Liverpool,Michael Laffey,Over 2.5,Spiller Frispark Begået | Michael Laffey,,Open,4.0,,,,
Arsenal vs Liverpool,Mikel Merino,Over 0.5,Spiller Frispark Begået | Mikel Merino,2026-01-08T20:00:00+00:00,Open,1.13,,,Open,1.18
Arsenal vs Liverpool,Mikel Merino,Over 1.5,Spiller Frispark Begået | Mikel Merino,2026-01-08T20:00:00+00:00,Open,1.72,Open,1.64,Open,1.95
Arsenal vs Liverpool,Mikel Merino,Over 2.5,Spiller Frispark Begået | Mikel Merino,,Open,3.1,,,,
Arsenal vs Liverpool,Milos Kerkez,Over 0.5,Spiller Frispark Begået | Milos Kerkez,2026-01-08T20:00:00+00:00,Open,1.55,Open,1.66,Open,1.22
Arsenal vs Liverpool,Milos Kerkez,Over 1.5,Spiller Frispark Begået | Milos Kerkez,2026-01-08T20:00:00+00:00,Open,3.4,,,Open,2.15
Arsenal vs Liverpool,Myles Lewis-skelly,Over 0.5,Spiller Frispark Begået | Myles Lewis-skelly,,Open,1.35,,,,
Arsenal vs Liverpool,Myles Lewis-skelly,Over 1.5,Spiller Frispark Begået | Myles Lewis-skelly,,Open,2.65,,,,
Arsenal vs Liverpool,Myles Lewis-skelly,Over 2.5,Spiller Frispark Begået | Myles Lewis-skelly,,Open,6.0,,,,
Arsenal vs Liverpool,Noni Madueke,Over 0.5,Spiller Frispark Begået | Noni Madueke,2026-01-08T20:00:00+00:00,Open,1.9,,,Open,1.53
Arsenal vs Liverpool,Noni Madueke,Over 1.5,Spiller Frispark Begået | Noni Madueke,2026-01-08T20:00:00+00:00,Open,5.0,Open,3.17,Open,3.8
Arsenal vs Liverpool,Piero Hincapie,Over 0.5,Spiller Frispark Begået | Piero Hincapie,2026-01-08T20:00:00+00:00,Open,1.38,,,Open,1.4
Arsenal vs Liverpool,Piero Hincapie,Over 1.5,Spiller Frispark Begået | Piero Hincapie,2026-01-08T20:00:00+00:00,Open,2.7,,,Open,3.0
Arsenal vs Liverpool,Piero Hincapie,Over 2.5,Spiller Frispark Begået | Piero Hincapie,,Open,6.0,,,,
Arsenal vs Liverpool,Rhys Williams,Over 0.5,Spiller Frispark Begået | Rhys Williams,,Open,1.6,Open,1.79,,
Arsenal vs Liverpool,Rhys Williams,Over 1.5,Spiller Frispark Begået | Rhys Williams,,Open,3.7,,,,
Arsenal vs Liverpool,Riccardo Calafiori,Over 0.5,Spiller Frispark Begået | Riccardo Calafiori,,Open,1.25,,,,
Arsenal vs Liverpool,Riccardo Calafiori,Over 1.5,Spiller Frispark Begået | Riccardo Calafiori,,Open,2.2,Open,2.14,,
Arsenal vs Liverpool,Riccardo Calafiori,Over 2.5,Spiller Frispark Begået | Riccardo Calafiori,,Open,4.5,,,,
Arsenal vs Liverpool,Rio Ngumoha,Over 0.5,Spiller Frispark Begået | Rio Ngumoha,,Open,1.7,Open,1.59,,
Arsenal vs Liverpool,Rio Ngumoha,Over 1.5,Spiller Frispark Begået | Rio Ngumoha,,Open,4.0,,,,
Arsenal vs Liverpool,Ryan Gravenberch,Over 0.5,Spiller Frispark Begået | Ryan Gravenberch,2026-01-08T20:00:00+00:00,Open,1.3,,,Open,1.14
Arsenal vs Liverpool,Ryan Gravenberch,Over 1.5,Spiller Frispark Begået | Ryan Gravenberch,2026-01-08T20:00:00+00:00,Open,2.35,Open,2.55,Open,1.75
Arsenal vs Liverpool,Ryan Gravenberch,Over 2.5,Spiller Frispark Begået | Ryan Gravenberch,,Open,5.0,,,,
Arsenal vs Liverpool,Stefan Bajcetic,Over 0.5,Spiller Frispark Begået | Stefan Bajcetic,,Open,1.17,,,,
Arsenal vs Liverpool,Stefan Bajcetic,Over 1.5,Spiller Frispark Begået | Stefan Bajcetic,,Open,1.85,Open,2.76,,
Arsenal vs Liverpool,Stefan Bajcetic,Over 2.5,Spiller Frispark Begået | Stefan Bajcetic,,Open,3.5,,,,
Arsenal vs Liverpool,Tommy Pilling,Over 0.5,Spiller Frispark Begået | Tommy Pilling,,Open,1.22,,,,
Arsenal vs Liverpool,Tommy Pilling,Over 1.5,Spiller Frispark Begået | Tommy Pilling,,Open,2.05,Open,2.86,,
Arsenal vs Liverpool,Tommy Pilling,Over 2.5,Spiller Frispark Begået | Tommy Pilling,,Open,4.0,,,,
Arsenal vs Liverpool,Trent Kone-Doherty,Over 0.5,Spiller Frispark Begået | Trent Kone-Doherty,,Open,1.23,Open,1.62,,
Arsenal vs Liverpool,Trent Kone-Doherty,Over 1.5,Spiller Frispark Begået | Trent Kone-Doherty,,Open,2.1,,,,
Arsenal vs Liverpool,Trent Kone-Doherty,Over 2.5,Spiller Frispark Begået | Trent Kone-Doherty,,Open,4.25,,,,
Arsenal vs Liverpool,Treymaurice Nyoni,Over 0.5,Spiller Frispark Begået | Treymaurice Nyoni,,Open,1.4,,,,
Arsenal vs Liverpool,Treymaurice Nyoni,Over 1.5,Spiller Frispark Begået | Treymaurice Nyoni,,Open,2.8,,,,
Arsenal vs Liverpool,Viktor Gyökeres,Over 0.5,Spiller Frispark Begået | Viktor Gyökeres,,Open,1.45,,,,
Arsenal vs Liverpool,Viktor Gyökeres,Over 1.5,Spiller Frispark Begået | Viktor Gyökeres,,Open,3.0,,,,
Arsenal vs Liverpool,Virgil van Dijk,Over 0.5,Spiller Frispark Begået | Virgil van Dijk,,Open,1.82,Open,1.79,,
Arsenal vs Liverpool,Virgil van Dijk,Over 1.5,Spiller Frispark Begået | Virgil van Dijk,,Open,4.75,,,,
Arsenal vs Liverpool,Wataru Endo,Over 0.5,Spiller Frispark Begået | Wataru Endo,,Open,1.09,,,,
Arsenal vs Liverpool,Wataru Endo,Over 1.5,Spiller Frispark Begået | Wataru Endo,,Open,1.55,Open,2.15,,
Arsenal vs Liverpool,Wataru Endo,Over 2.5,Spiller Frispark Begået | Wataru Endo,,Open,2.65,,,,
Arsenal vs Liverpool,Wellity Lucky,Over 0.5,Spiller Frispark Begået | Wellity Lucky,,Open,1.28,Open,1.79,,
Arsenal vs Liverpool,Wellity Lucky,Over 1.5,Spiller Frispark Begået | Wellity Lucky,,Open,2.3,,,,
Arsenal vs Liverpool,Wellity Lucky,Over 2.5,Spiller Frispark Begået | Wellity Lucky,,Open,5.0,,,,
Arsenal vs Liverpool,William Saliba,Over 0.5,Spiller Frispark Begået | William Saliba,2026-01-08T20:00:00+00:00,Open,1.8,Open,1.78,Open,1.33
Arsenal vs Liverpool,William Saliba,Over 1.5,Spiller Frispark Begået | William Saliba,2026-01-08T20:00:00+00:00,Open,4.5,,,Open,2.7
Arsenal vs Liverpool,Alexis Mac Allister,Over 0.5,Spillers samlede antal skud | Alexis Mac Allister,2026-01-08T20:00:00+00:00,Open,1.4,Open,1.45,Open,1.22
Arsenal vs Liverpool,Alexis Mac Allister,Over 1.5,Spillers samlede antal skud | Alexis Mac Allister,2026-01-08T20:00:00+00:00,Open,2.75,Open,3.05,Open,2.2
Arsenal vs Liverpool,Alexis Mac Allister,Over 2.5,Spillers samlede antal skud | Alexis Mac Allister,2026-01-08T20:00:00+00:00,Open,6.0,Open,7.5,Open,5.0
Arsenal vs Liverpool,Amara Nallo,Over 0.5,Spillers samlede antal skud | Amara Nallo,,Open,2.05,Open,2.7,,
Arsenal vs Liverpool,Amara Nallo,Over 1.5,Spillers samlede antal skud | Amara Nallo,,Open,5.5,Open,10.25,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 2.5,Spillers samlede antal skud | Andre HarrimanAnnous,,Open,1.52,,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 3.5,Spillers samlede antal skud | Andre HarrimanAnnous,,Open,2.25,,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 4.5,Spillers samlede antal skud | Andre HarrimanAnnous,,Open,3.7,,,,
Arsenal vs Liverpool,Andrew Robertson,Over 0.5,Spillers samlede antal skud | Andrew Robertson,,Open,2.55,Open,2.42,,
Arsenal vs Liverpool,Andrew Robertson,Over 1.5,Spillers samlede antal skud | Andrew Robertson,,Open,9.0,Open,8.5,,
Arsenal vs Liverpool,Ben White,Over 0.5,Spillers samlede antal skud | Ben White,2026-01-08T20:00:00+00:00,Open,1.62,Open,1.88,Open,2.05
Arsenal vs Liverpool,Ben White,Over 1.5,Spillers samlede antal skud | Ben White,2026-01-08T20:00:00+00:00,Open,3.7,Open,5.3,Open,6.5
Arsenal vs Liverpool,Bukayo Saka,Over 2.5,Spillers samlede antal skud | Bukayo Saka,2026-01-08T20:00:00+00:00,Open,1.55,Open,1.57,Open,1.4
Arsenal vs Liverpool,Bukayo Saka,Over 3.5,Spillers samlede antal skud | Bukayo Saka,2026-01-08T20:00:00+00:00,Open,2.3,Open,2.37,Open,2.1
Arsenal vs Liverpool,Bukayo Saka,Over 4.5,Spillers samlede antal skud | Bukayo Saka,2026-01-08T20:00:00+00:00,Open,3.9,Open,4.05,Open,3.6
Arsenal vs Liverpool,Calvin Ramsay,Over 0.5,Spillers samlede antal skud | Calvin Ramsay,2026-01-08T20:00:00+00:00,Open,2.15,Open,2.42,Open,2.1
Arsenal vs Liverpool,Calvin Ramsay,Over 1.5,Spillers samlede antal skud | Calvin Ramsay,2026-01-08T20:00:00+00:00,Open,6.5,Open,8.5,Open,7.0
Arsenal vs Liverpool,Carter Pinnington,Over 0.5,Spillers samlede antal skud | Carter Pinnington,,Open,2.05,Open,2.7,,
Arsenal vs Liverpool,Carter Pinnington,Over 1.5,Spillers samlede antal skud | Carter Pinnington,,Open,5.5,Open,10.25,,
Arsenal vs Liverpool,Charles Sagoe Jr,Over 1.5,Spillers samlede antal skud | Charles Sagoe Jr,,Open,1.42,,,,
Arsenal vs Liverpool,Charles Sagoe Jr,Over 2.5,Spillers samlede antal skud | Charles Sagoe Jr,,Open,2.2,,,,
