selectionLabel,odds_decimal,status_selection,marketLabel,deadline,player,line
Over 1.5,10.0,Open,Antal afslutninger på mål | Rio Ngumoha,2026-01-08T20:00:00Z,Rio Ngumoha,
Over 0.5,2.55,Open,Antal afslutninger på mål | Rio Ngumoha,2026-01-08T20:00:00Z,Rio Ngumoha,
Over 1.5,11.0,Open,Antal afslutninger på mål | Christian Nørgaard,2026-01-08T20:00:00Z,Christian Nørgaard,
Over 0.5,2.65,Open,Antal afslutninger på mål | Christian Nørgaard,2026-01-08T20:00:00Z,Christian Nørgaard,
Over 0.5,1.48,Open,Antal afslutninger på mål | Eberechi Eze,2026-01-08T20:00:00Z,Eberechi Eze,
Over 1.5,3.2,Open,Antal afslutninger på mål | Eberechi Eze,2026-01-08T20:00:00Z,Eberechi Eze,
Over 1.5,3.5,Open,Antal afslutninger på mål | Mikel Merino,2026-01-08T20:00:00Z,Mikel Merino,
Over 0.5,1.52,Open,Antal afslutninger på mål | Mikel Merino,2026-01-08T20:00:00Z,Mikel Merino,
Over 0.5,1.65,Open,Antal afslutninger på mål | Max Dowman,2026-01-08T20:00:00Z,Max Dowman,
Over 1.5,4.0,Open,Antal afslutninger på mål | Max Dowman,2026-01-08T20:00:00Z,Max Dowman,
Over 0.5,2.4,Open,Antal afslutninger på mål | Federico Chiesa,2026-01-08T20:00:00Z,Federico Chiesa,
Over 1.5,9.0,Open,Antal afslutninger på mål | Federico Chiesa,2026-01-08T20:00:00Z,Federico Chiesa,
Over 0.5,2.4,Open,Antal afslutninger på mål | Cody Gakpo,2026-01-08T20:00:00Z,Cody Gakpo,
Over 1.5,9.0,Open,Antal afslutninger på mål | Cody Gakpo,2026-01-08T20:00:00Z,Cody Gakpo,
Over 1.5,3.6,Open,Antal afslutninger på mål | Gabriel Martinelli,2026-01-08T20:00:00Z,Gabriel Martinelli,
Over 0.5,1.55,Open,Antal afslutninger på mål | Gabriel Martinelli,2026-01-08T20:00:00Z,Gabriel Martinelli,
Over 0.5,1.45,Open,Antal afslutninger på mål | Noni Madueke,2026-01-08T20:00:00Z,Noni Madueke,
Over 1.5,3.1,Open,Antal afslutninger på mål | Noni Madueke,2026-01-08T20:00:00Z,Noni Madueke,
Over 0.5,1.35,Open,Antal afslutninger på mål | Kai Havertz,2026-01-08T20:00:00Z,Kai Havertz,
Over 1.5,2.75,Open,Antal afslutninger på mål | Kai Havertz,2026-01-08T20:00:00Z,Kai Havertz,
Over 2.5,7.0,Open,Antal afslutninger på mål | Kai Havertz,2026-01-08T20:00:00Z,Kai Havertz,
Over 0.5,2.3,Open,Antal afslutninger på mål | Jayden Danns,2026-01-08T20:00:00Z,Jayden Danns,
Over 1.5,8.0,Open,Antal afslutninger på mål | Jayden Danns,2026-01-08T20:00:00Z,Jayden Danns,
Over 0.5,10.0,Open,Antal afslutninger på mål | Rhys Williams,2026-01-08T20:00:00Z,Rhys Williams,
Over 0.5,2.15,Open,Antal afslutninger på mål | Declan Rice,2026-01-08T20:00:00Z,Declan Rice,
Over 1.5,7.0,Open,Antal afslutninger på mål | Declan Rice,2026-01-08T20:00:00Z,Declan Rice,
Over 0.5,6.0,Open,Antal afslutninger på mål | Carter Pinnington,2026-01-08T20:00:00Z,Carter Pinnington,
Over 0.5,6.5,Open,Antal afslutninger på mål | Wellity Lucky,2026-01-08T20:00:00Z,Wellity Lucky,
Over 0.5,3.9,Open,Antal afslutninger på mål | Treymaurice Nyoni,2026-01-08T20:00:00Z,Treymaurice Nyoni,
Over 1.5,20.0,Open,Antal afslutninger på mål | Treymaurice Nyoni,2026-01-08T20:00:00Z,Treymaurice Nyoni,
Over 0.5,1.85,Open,Antal afslutninger på mål | Hugo Ekitike,2026-01-08T20:00:00Z,Hugo Ekitike,
Over 1.5,5.0,Open,Antal afslutninger på mål | Hugo Ekitike,2026-01-08T20:00:00Z,Hugo Ekitike,
Over 0.5,3.7,Open,Antal afslutninger på mål | Piero Hincapie,2026-01-08T20:00:00Z,Piero Hincapie,
Over 1.5,20.0,Open,Antal afslutninger på mål | Piero Hincapie,2026-01-08T20:00:00Z,Piero Hincapie,
Over 0.5,2.05,Open,Antal afslutninger på mål | Tommy Pilling,2026-01-08T20:00:00Z,Tommy Pilling,
Over 1.5,6.5,Open,Antal afslutninger på mål | Tommy Pilling,2026-01-08T20:00:00Z,Tommy Pilling,
Over 1.5,3.7,Open,Antal afslutninger på mål | Ethan Nwaneri,2026-01-08T20:00:00Z,Ethan Nwaneri,
Over 0.5,1.55,Open,Antal afslutninger på mål | Ethan Nwaneri,2026-01-08T20:00:00Z,Ethan Nwaneri,
Over 0.5,1.95,Open,Antal afslutninger på mål | Louie Copley,2026-01-08T20:00:00Z,Louie Copley,
Over 1.5,6.0,Open,Antal afslutninger på mål | Louie Copley,2026-01-08T20:00:00Z,Louie Copley,
Over 0.5,4.25,Open,Antal afslutninger på mål | Curtis Jones,2026-01-08T20:00:00Z,Curtis Jones,
Over 0.5,7.0,Open,Antal afslutninger på mål | Milos Kerkez,2026-01-08T20:00:00Z,Milos Kerkez,
Over 0.5,1.65,Open,Antal afslutninger på mål | Keyrol Figueroa,2026-01-08T20:00:00Z,Keyrol Figueroa,
Over 1.5,4.25,Open,Antal afslutninger på mål | Keyrol Figueroa,2026-01-08T20:00:00Z,Keyrol Figueroa,
