event,player,selectionLabel,marketLabel,deadline,status_selection_betsson,odds_decimal_betsson,status_selection_betano,odds_decimal_betano,status_selection_expekt,odds_decimal_expekt,best_bookmaker,best_odds_decimal,second_bookmaker,second_best_odds_decimal,ratio_best_over_second
Arsenal vs Liverpool,Michael Laffey,Over 2.5,Spillers samlede antal skud | Michael Laffey,,Open,3.2,Open,14.5,,,Betano,14.5,Betsson,3.2,4.53125
Arsenal vs Liverpool,Tommy Pilling,Over 2.5,Spillers samlede antal skud | Tommy Pilling,,Open,3.2,Open,11.75,,,Betano,11.75,Betsson,3.2,3.671875
Arsenal vs Liverpool,Michael Laffey,Over 1.5,Spillers samlede antal skud | Michael Laffey,,Open,1.75,Open,5.6,,,Betano,5.6,Betsson,1.75,3.1999999999999997
Arsenal vs Liverpool,Joe Gomez,Over 0.5,Spillers samlede antal assister | Joe Gomez,,Open,19.0,Open,6.4,,,Betsson,19.0,Betano,6.4,2.96875
Arsenal vs Liverpool,Michael Laffey,Over 1.5,Antal afslutninger på mål | Michael Laffey,,Open,6.5,Open,18.5,,,Betano,18.5,Betsson,6.5,2.8461538461538463
Arsenal vs Liverpool,Tommy Pilling,Over 1.5,Spillers samlede antal skud | Tommy Pilling,,Open,1.75,Open,4.4,,,Betano,4.4,Betsson,1.75,2.5142857142857147
Arsenal vs Liverpool,Tommy Pilling,Over 1.5,Antal afslutninger på mål | Tommy Pilling,,Open,6.5,Open,16.0,,,Betano,16.0,Betsson,6.5,2.4615384615384617
Arsenal vs Liverpool,Michael Laffey,Over 0.5,Antal afslutninger på mål | Michael Laffey,,Open,2.05,Open,4.65,,,Betano,4.65,Betsson,2.05,2.2682926829268295
Arsenal vs Liverpool,Trent Kone-Doherty,Over 1.5,Antal afslutninger på mål | Trent Kone-Doherty,,Open,20.0,Open,9.25,,,Betsson,20.0,Betano,9.25,2.1621621621621623
Arsenal vs Liverpool,Eberechi Eze,Over 3.5,Spillers samlede antal skud | Eberechi Eze,2026-01-08T20:00:00+00:00,Open,2.7,Open,5.1,Open,2.3,Betano,5.1,Betsson,2.7,1.8888888888888886
Arsenal vs Liverpool,Tommy Pilling,Over 0.5,Antal afslutninger på mål | Tommy Pilling,,Open,2.05,Open,3.85,,,Betano,3.85,Betsson,2.05,1.878048780487805
Arsenal vs Liverpool,Conor Bradley,Over 0.5,Spillers samlede antal assister | Conor Bradley,2026-01-08T20:00:00+00:00,Open,14.0,Open,6.6,Open,7.5,Betsson,14.0,Expekt,7.5,1.8666666666666667
Arsenal vs Liverpool,Amara Nallo,Over 1.5,Spillers samlede antal skud | Amara Nallo,,Open,5.5,Open,10.25,,,Betano,10.25,Betsson,5.5,1.8636363636363635
Arsenal vs Liverpool,Carter Pinnington,Over 1.5,Spillers samlede antal skud | Carter Pinnington,,Open,5.5,Open,10.25,,,Betano,10.25,Betsson,5.5,1.8636363636363635
Arsenal vs Liverpool,Kieran Morrison,Over 2.5,Spillers samlede antal skud | Kieran Morrison,,Open,2.8,Open,5.2,,,Betano,5.2,Betsson,2.8,1.8571428571428574
Arsenal vs Liverpool,Louie Copley,Over 1.5,Antal afslutninger på mål | Louie Copley,,Open,6.0,Open,10.75,,,Betano,10.75,Betsson,6.0,1.7916666666666667
Arsenal vs Liverpool,Eberechi Eze,Over 1.5,Antal afslutninger på mål | Eberechi Eze,2026-01-08T20:00:00+00:00,Open,3.2,Open,5.7,Open,3.1,Betano,5.7,Betsson,3.2,1.78125
