event,player,selectionLabel,marketLabel,deadline,status_selection_betsson,odds_decimal_betsson,status_selection_betano,odds_decimal_betano
Arsenal vs Liverpool,Alexis Mac Allister,Over 0.5,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00Z,Open,1.22,,
Arsenal vs Liverpool,Alexis Mac Allister,Over 1.5,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00Z,Open,2.05,Open,2.86
Arsenal vs Liverpool,Alexis Mac Allister,Over 2.5,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00Z,Open,4.0,,
Arsenal vs Liverpool,Amara Nallo,Over 0.5,Spiller Frispark Begået | Amara Nallo,2026-01-08T20:00:00Z,Open,1.35,Open,1.79
Arsenal vs Liverpool,Amara Nallo,Over 1.5,Spiller Frispark Begået | Amara Nallo,2026-01-08T20:00:00Z,Open,2.65,,
Arsenal vs Liverpool,Amara Nallo,Over 2.5,Spiller Frispark Begået | Amara Nallo,2026-01-08T20:00:00Z,Open,6.0,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 0.5,Spiller Frispark Begået | Andre HarrimanAnnous,2026-01-08T20:00:00Z,Open,1.35,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 1.5,Spiller Frispark Begået | Andre HarrimanAnnous,2026-01-08T20:00:00Z,Open,2.65,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 2.5,Spiller Frispark Begået | Andre HarrimanAnnous,2026-01-08T20:00:00Z,Open,6.0,,
Arsenal vs Liverpool,Andrew Robertson,Over 0.5,Spiller Frispark Begået | Andrew Robertson,2026-01-08T20:00:00Z,Open,1.65,Open,1.69
Arsenal vs Liverpool,Andrew Robertson,Over 1.5,Spiller Frispark Begået | Andrew Robertson,2026-01-08T20:00:00Z,Open,4.0,,
Arsenal vs Liverpool,Ben White,Over 0.5,Spiller Frispark Begået | Ben White,2026-01-08T20:00:00Z,Open,1.48,Open,1.63
Arsenal vs Liverpool,Ben White,Over 1.5,Spiller Frispark Begået | Ben White,2026-01-08T20:00:00Z,Open,3.2,,
Arsenal vs Liverpool,Bukayo Saka,Over 0.5,Spiller Frispark Begået | Bukayo Saka,2026-01-08T20:00:00Z,Open,1.35,,
Arsenal vs Liverpool,Bukayo Saka,Over 1.5,Spiller Frispark Begået | Bukayo Saka,2026-01-08T20:00:00Z,Open,2.65,Open,2.57
Arsenal vs Liverpool,Bukayo Saka,Over 2.5,Spiller Frispark Begået | Bukayo Saka,2026-01-08T20:00:00Z,Open,6.0,,
