event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 0.5,1.57,Open,Antal afslutninger på mål | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 1.5,4.0,Open,Antal afslutninger på mål | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 2.5,9.5,Open,Antal afslutninger på mål | Ansgar Knauff,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 0.5,5.0,Open,Antal afslutninger på mål | Arthur Theate,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 0.5,5.5,Open,Antal afslutninger på mål | Aurele Amenda,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 0.5,4.2,Open,Antal afslutninger på mål | Aurelio Buta,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Can Uzun,Over 0.5,1.7,Open,Antal afslutninger på mål | Can Uzun,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Can Uzun,Over 1.5,5.0,Open,Antal afslutninger på mål | Can Uzun,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Can Uzun,Over 2.5,12.0,Open,Antal afslutninger på mål | Can Uzun,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 0.5,1.7,Open,Antal afslutninger på mål | Carney Chukwuemeka,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 1.5,4.5,Open,Antal afslutninger på mål | Carney Chukwuemeka,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 2.5,12.0,Open,Antal afslutninger på mål | Carney Chukwuemeka,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 0.5,1.95,Open,Antal afslutninger på mål | Daniel Svensson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 1.5,6.0,Open,Antal afslutninger på mål | Daniel Svensson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 2.5,19.0,Open,Antal afslutninger på mål | Daniel Svensson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 0.5,4.0,Open,Antal afslutninger på mål | Emre Can,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 1.5,17.0,Open,Antal afslutninger på mål | Emre Can,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Fabio Silva,Over 0.5,1.29,Open,Antal afslutninger på mål | Fabio Silva,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Fabio Silva,Over 1.5,2.5,Open,Antal afslutninger på mål | Fabio Silva,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Fabio Silva,Over 2.5,5.5,Open,Antal afslutninger på mål | Fabio Silva,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Fabio Silva,Over 3.5,13.0,Open,Antal afslutninger på mål | Fabio Silva,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 0.5,2.6,Open,Antal afslutninger på mål | Felix Nmecha,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 1.5,8.5,Open,Antal afslutninger på mål | Felix Nmecha,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Filippo Mane,Over 0.5,5.0,Open,Antal afslutninger på mål | Filippo Mane,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Hugo Larsson,Over 0.5,3.25,Open,Antal afslutninger på mål | Hugo Larsson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Hugo Larsson,Over 1.5,13.0,Open,Antal afslutninger på mål | Hugo Larsson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 0.5,1.62,Open,Antal afslutninger på mål | Jean Matteo Bahoya,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 1.5,4.33,Open,Antal afslutninger på mål | Jean Matteo Bahoya,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 2.5,11.0,Open,Antal afslutninger på mål | Jean Matteo Bahoya,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 0.5,1.44,Open,Antal afslutninger på mål | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 1.5,3.5,Open,Antal afslutninger på mål | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 2.5,8.0,Open,Antal afslutninger på mål | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 0.5,1.7,Open,Antal afslutninger på mål | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 1.5,4.5,Open,Antal afslutninger på mål | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 2.5,12.0,Open,Antal afslutninger på mål | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 0.5,3.4,Open,Antal afslutninger på mål | Julian Ryerson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 1.5,13.0,Open,Antal afslutninger på mål | Julian Ryerson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 0.5,1.57,Open,Antal afslutninger på mål | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 1.5,4.0,Open,Antal afslutninger på mål | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 2.5,9.5,Open,Antal afslutninger på mål | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 0.5,1.57,Open,Antal afslutninger på mål | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 1.5,4.0,Open,Antal afslutninger på mål | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 2.5,9.5,Open,Antal afslutninger på mål | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 0.5,2.75,Open,Antal afslutninger på mål | Mahmoud Dahoud,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 1.5,9.5,Open,Antal afslutninger på mål | Mahmoud Dahoud,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 0.5,2.3,Open,Antal afslutninger på mål | Marcel Sabitzer,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 1.5,7.5,Open,Antal afslutninger på mål | Marcel Sabitzer,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 0.5,1.73,Open,Antal afslutninger på mål | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 1.5,5.0,Open,Antal afslutninger på mål | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 2.5,13.0,Open,Antal afslutninger på mål | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 0.5,1.53,Open,Antal afslutninger på mål | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 1.5,3.8,Open,Antal afslutninger på mål | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 2.5,9.0,Open,Antal afslutninger på mål | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 0.5,1.91,Open,Antal afslutninger på mål | Nathaniel Brown,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 1.5,5.5,Open,Antal afslutninger på mål | Nathaniel Brown,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 2.5,17.0,Open,Antal afslutninger på mål | Nathaniel Brown,2026-01-09T19:30:00+00:00
