event,player,selectionLabel,marketLabel,deadline,status_selection_betsson,odds_decimal_betsson,status_selection_betano,odds_decimal_betano,status_selection_expekt,odds_decimal_expekt,best_bookmaker,best_odds_decimal,second_bookmaker,second_best_odds_decimal,ratio_best_over_second
Arsenal vs Liverpool,Alexis Mac Allister,Over 0.5,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00+00:00,Open,1.22,,,Open,1.09,Betsson,1.22,Expekt,1.09,1.1192660550458715
Arsenal vs Liverpool,Alexis Mac Allister,Over 1.5,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00+00:00,Open,2.05,Open,2.86,Open,1.5,Betano,2.86,Betsson,2.05,1.3951219512195123
Arsenal vs Liverpool,Alexis Mac Allister,Over 2.5,Spiller Frispark Begået | Alexis Mac Allister,,Open,4.0,,,,,Betsson,4.0,,,
Arsenal vs Liverpool,Amara Nallo,Over 0.5,Spiller Frispark Begået | Amara Nallo,,Open,1.35,Open,1.79,,,Betano,1.79,Betsson,1.35,1.325925925925926
Arsenal vs Liverpool,Amara Nallo,Over 1.5,Spiller Frispark Begået | Amara Nallo,,Open,2.65,,,,,Betsson,2.65,,,
Arsenal vs Liverpool,Amara Nallo,Over 2.5,Spiller Frispark Begået | Amara Nallo,,Open,6.0,,,,,Betsson,6.0,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 0.5,Spiller Frispark Begået | Andre HarrimanAnnous,,Open,1.35,,,,,Betsson,1.35,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 1.5,Spiller Frispark Begået | Andre HarrimanAnnous,,Open,2.65,,,,,Betsson,2.65,,,
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 2.5,Spiller Frispark Begået | Andre HarrimanAnnous,,Open,6.0,,,,,Betsson,6.0,,,
Arsenal vs Liverpool,Andrew Robertson,Over 0.5,Spiller Frispark Begået | Andrew Robertson,,Open,1.65,Open,1.69,,,Betano,1.69,Betsson,1.65,1.0242424242424242
Arsenal vs Liverpool,Andrew Robertson,Over 1.5,Spiller Frispark Begået | Andrew Robertson,,Open,4.0,,,,,Betsson,4.0,,,
Arsenal vs Liverpool,Ben White,Over 0.5,Spiller Frispark Begået | Ben White,2026-01-08T20:00:00+00:00,Open,1.48,Open,1.63,Open,1.53,Betano,1.63,Expekt,1.53,1.065359477124183
