event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
AS Roma vs Sassuolo,Alessandro Gianni,Over 0.5,1.6154,Open,Antal afslutninger på mål | Alessandro Gianni,
AS Roma vs Sassuolo,Alessandro Gianni,Over 1.5,4.25,Open,Antal afslutninger på mål | Alessandro Gianni,
AS Roma vs Sassuolo,Alieu Fadera,Over 0.5,2.75,Open,Antal afslutninger på mål | Alieu Fadera,
AS Roma vs Sassuolo,Alieu Fadera,Over 1.5,12.0,Open,Antal afslutninger på mål | Alieu Fadera,
AS Roma vs Sassuolo,Andrea Pinamonti,Over 0.5,1.7143,Open,Antal afslutninger på mål | Andrea Pinamonti,
AS Roma vs Sassuolo,Andrea Pinamonti,Over 1.5,4.75,Open,Antal afslutninger på mål | Andrea Pinamonti,
AS Roma vs Sassuolo,Angelino,Over 0.5,3.2,Open,Antal afslutninger på mål | Angelino,
AS Roma vs Sassuolo,Angelino,Over 1.5,17.0,Open,Antal afslutninger på mål | Angelino,
AS Roma vs Sassuolo,Armand Lauriente,Over 0.5,1.6471,Open,Antal afslutninger på mål | Armand Lauriente,
AS Roma vs Sassuolo,Armand Lauriente,Over 1.5,4.25,Open,Antal afslutninger på mål | Armand Lauriente,
AS Roma vs Sassuolo,Aster Vranckx,Over 0.5,3.8,Open,Antal afslutninger på mål | Aster Vranckx,
AS Roma vs Sassuolo,Buba Sangare,Over 0.5,3.4,Open,Antal afslutninger på mål | Buba Sangare,
AS Roma vs Sassuolo,Buba Sangare,Over 1.5,18.0,Open,Antal afslutninger på mål | Buba Sangare,
AS Roma vs Sassuolo,Cas Odenthal,Over 0.5,7.0,Open,Antal afslutninger på mål | Cas Odenthal,
AS Roma vs Sassuolo,Cristian Volpato,Over 0.5,2.6667,Open,Antal afslutninger på mål | Cristian Volpato,
AS Roma vs Sassuolo,Cristian Volpato,Over 1.5,11.0,Open,Antal afslutninger på mål | Cristian Volpato,
AS Roma vs Sassuolo,Daniele Ghilardi,Over 0.5,3.5,Open,Antal afslutninger på mål | Daniele Ghilardi,
AS Roma vs Sassuolo,Daniele Ghilardi,Over 1.5,19.0,Open,Antal afslutninger på mål | Daniele Ghilardi,
AS Roma vs Sassuolo,Devyne Fabian,Over 0.5,2.5,Open,Antal afslutninger på mål | Devyne Fabian,
AS Roma vs Sassuolo,Devyne Fabian,Over 1.5,10.0,Open,Antal afslutninger på mål | Devyne Fabian,
AS Roma vs Sassuolo,Edoardo Iannoni,Over 0.5,3.6667,Open,Antal afslutninger på mål | Edoardo Iannoni,
AS Roma vs Sassuolo,Edoardo Iannoni,Over 1.5,20.0,Open,Antal afslutninger på mål | Edoardo Iannoni,
AS Roma vs Sassuolo,Evan Ferguson,Over 0.5,1.1819,Open,Antal afslutninger på mål | Evan Ferguson,
AS Roma vs Sassuolo,Evan Ferguson,Over 1.5,2.0,Open,Antal afslutninger på mål | Evan Ferguson,
AS Roma vs Sassuolo,Evan Ferguson,Over 2.5,4.25,Open,Antal afslutninger på mål | Evan Ferguson,
AS Roma vs Sassuolo,Fali Cande,Over 0.5,6.0,Open,Antal afslutninger på mål | Fali Cande,
AS Roma vs Sassuolo,Gianluca Mancini,Over 0.5,3.3334,Open,Antal afslutninger på mål | Gianluca Mancini,
AS Roma vs Sassuolo,Gianluca Mancini,Over 1.5,17.0,Open,Antal afslutninger på mål | Gianluca Mancini,
AS Roma vs Sassuolo,Ismael Kone,Over 0.5,3.4,Open,Antal afslutninger på mål | Ismael Kone,
AS Roma vs Sassuolo,Ismael Kone,Over 1.5,18.0,Open,Antal afslutninger på mål | Ismael Kone,
AS Roma vs Sassuolo,Jacopo Mirra,Over 0.5,3.2,Open,Antal afslutninger på mål | Jacopo Mirra,
AS Roma vs Sassuolo,Jacopo Mirra,Over 1.5,16.0,Open,Antal afslutninger på mål | Jacopo Mirra,
AS Roma vs Sassuolo,Jan Ziolkowski,Over 0.5,4.0,Open,Antal afslutninger på mål | Jan Ziolkowski,
AS Roma vs Sassuolo,Jay Idzes,Over 0.5,6.0,Open,Antal afslutninger på mål | Jay Idzes,
AS Roma vs Sassuolo,Josh Doig,Over 0.5,3.6667,Open,Antal afslutninger på mål | Josh Doig,
AS Roma vs Sassuolo,Josh Doig,Over 1.5,20.0,Open,Antal afslutninger på mål | Josh Doig,
AS Roma vs Sassuolo,Konstantinos Tsimikas,Over 0.5,3.6,Open,Antal afslutninger på mål | Konstantinos Tsimikas,
AS Roma vs Sassuolo,Konstantinos Tsimikas,Over 1.5,20.0,Open,Antal afslutninger på mål | Konstantinos Tsimikas,
AS Roma vs Sassuolo,Kouadio Kone,Over 0.5,2.3,Open,Antal afslutninger på mål | Kouadio Kone,
AS Roma vs Sassuolo,Kouadio Kone,Over 1.5,8.5,Open,Antal afslutninger på mål | Kouadio Kone,
AS Roma vs Sassuolo,Laurs Skjellerup,Over 0.5,2.1429,Open,Antal afslutninger på mål | Laurs Skjellerup,
AS Roma vs Sassuolo,Laurs Skjellerup,Over 1.5,7.5,Open,Antal afslutninger på mål | Laurs Skjellerup,
AS Roma vs Sassuolo,Luca Barani,Over 0.5,6.0,Open,Antal afslutninger på mål | Luca Barani,
AS Roma vs Sassuolo,Luca Lipani,Over 0.5,3.6,Open,Antal afslutninger på mål | Luca Lipani,
AS Roma vs Sassuolo,Luca Lipani,Over 1.5,20.0,Open,Antal afslutninger på mål | Luca Lipani,
AS Roma vs Sassuolo,Luca Moro,Over 0.5,1.875,Open,Antal afslutninger på mål | Luca Moro,
AS Roma vs Sassuolo,Luca Moro,Over 1.5,5.5,Open,Antal afslutninger på mål | Luca Moro,
AS Roma vs Sassuolo,Mario Hermoso,Over 0.5,3.2,Open,Antal afslutninger på mål | Mario Hermoso,
AS Roma vs Sassuolo,Mario Hermoso,Over 1.5,17.0,Open,Antal afslutninger på mål | Mario Hermoso,
AS Roma vs Sassuolo,Matias Soule,Over 0.5,1.2858,Open,Antal afslutninger på mål | Matias Soule,
AS Roma vs Sassuolo,Matias Soule,Over 1.5,2.5,Open,Antal afslutninger på mål | Matias Soule,
AS Roma vs Sassuolo,Matias Soule,Over 2.5,6.0,Open,Antal afslutninger på mål | Matias Soule,
AS Roma vs Sassuolo,Muhammed S.,Over 0.5,1.3,Open,Antal afslutninger på mål | Muhammed S.,
AS Roma vs Sassuolo,Muhammed S.,Over 1.5,2.5455,Open,Antal afslutninger på mål | Muhammed S.,
