event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
AS Roma vs US Sassuolo Calcio,Alessandro Gianni Romano,Over 0.5,3.35,Open,Antal afslutninger på mål | Alessandro Gianni Romano,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Alessandro Gianni Romano,Over 1.5,13.5,Open,Antal afslutninger på mål | Alessandro Gianni Romano,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Alessandro Gianni Romano,Over 2.5,23.0,Open,Antal afslutninger på mål | Alessandro Gianni Romano,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Alieu Fadera,Over 0.5,2.42,Open,Antal afslutninger på mål | Alieu Fadera,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Alieu Fadera,Over 1.5,8.5,Open,Antal afslutninger på mål | Alieu Fadera,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Alieu Fadera,Over 2.5,19.5,Open,Antal afslutninger på mål | Alieu Fadera,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Alieu Fadera,Over 3.5,24.0,Open,Antal afslutninger på mål | Alieu Fadera,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Andrea Pinamonti,Over 0.5,1.75,Open,Antal afslutninger på mål | Andrea Pinamonti,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Andrea Pinamonti,Over 1.5,4.65,Open,Antal afslutninger på mål | Andrea Pinamonti,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Andrea Pinamonti,Over 2.5,12.5,Open,Antal afslutninger på mål | Andrea Pinamonti,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Andrea Pinamonti,Over 3.5,21.0,Open,Antal afslutninger på mål | Andrea Pinamonti,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Angeliño,Over 0.5,3.2,Open,Antal afslutninger på mål | Angeliño,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Angeliño,Over 1.5,13.0,Open,Antal afslutninger på mål | Angeliño,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Angeliño,Over 2.5,23.0,Open,Antal afslutninger på mål | Angeliño,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Antonio Arena,Over 0.5,1.55,Open,Antal afslutninger på mål | Antonio Arena,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Antonio Arena,Over 1.5,3.55,Open,Antal afslutninger på mål | Antonio Arena,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Antonio Arena,Over 2.5,9.0,Open,Antal afslutninger på mål | Antonio Arena,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Antonio Arena,Over 3.5,18.0,Open,Antal afslutninger på mål | Antonio Arena,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Antonio Arena,Over 4.5,23.0,Open,Antal afslutninger på mål | Antonio Arena,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Armand Lauriente,Over 0.5,1.75,Open,Antal afslutninger på mål | Armand Lauriente,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Armand Lauriente,Over 1.5,4.65,Open,Antal afslutninger på mål | Armand Lauriente,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Armand Lauriente,Over 2.5,12.5,Open,Antal afslutninger på mål | Armand Lauriente,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Armand Lauriente,Over 3.5,21.0,Open,Antal afslutninger på mål | Armand Lauriente,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Aster Vranckx,Over 0.5,3.65,Open,Antal afslutninger på mål | Aster Vranckx,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Aster Vranckx,Over 1.5,15.0,Open,Antal afslutninger på mål | Aster Vranckx,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Aster Vranckx,Over 2.5,24.0,Open,Antal afslutninger på mål | Aster Vranckx,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Bryan Cristante,Over 0.5,3.35,Open,Antal afslutninger på mål | Bryan Cristante,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Bryan Cristante,Over 1.5,13.5,Open,Antal afslutninger på mål | Bryan Cristante,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Bryan Cristante,Over 2.5,23.0,Open,Antal afslutninger på mål | Bryan Cristante,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Buba Sangare,Over 0.5,3.7,Open,Antal afslutninger på mål | Buba Sangare,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Buba Sangare,Over 1.5,15.0,Open,Antal afslutninger på mål | Buba Sangare,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Buba Sangare,Over 2.5,24.0,Open,Antal afslutninger på mål | Buba Sangare,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Cas Odenthal,Over 0.5,6.1,Open,Antal afslutninger på mål | Cas Odenthal,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Cas Odenthal,Over 1.5,22.0,Open,Antal afslutninger på mål | Cas Odenthal,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Christian Frangella,Over 0.5,3.65,Open,Antal afslutninger på mål | Christian Frangella,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Christian Frangella,Over 1.5,15.0,Open,Antal afslutninger på mål | Christian Frangella,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Christian Frangella,Over 2.5,24.0,Open,Antal afslutninger på mål | Christian Frangella,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Cristian Volpato,Over 0.5,2.35,Open,Antal afslutninger på mål | Cristian Volpato,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Cristian Volpato,Over 1.5,8.0,Open,Antal afslutninger på mål | Cristian Volpato,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Cristian Volpato,Over 2.5,19.0,Open,Antal afslutninger på mål | Cristian Volpato,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Cristian Volpato,Over 3.5,24.0,Open,Antal afslutninger på mål | Cristian Volpato,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Daniele Ghilardi,Over 0.5,4.45,Open,Antal afslutninger på mål | Daniele Ghilardi,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Daniele Ghilardi,Over 1.5,18.0,Open,Antal afslutninger på mål | Daniele Ghilardi,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Daniele Ghilardi,Over 2.5,24.0,Open,Antal afslutninger på mål | Daniele Ghilardi,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Devyne Rensch,Over 0.5,3.7,Open,Antal afslutninger på mål | Devyne Rensch,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Devyne Rensch,Over 1.5,15.0,Open,Antal afslutninger på mål | Devyne Rensch,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Devyne Rensch,Over 2.5,24.0,Open,Antal afslutninger på mål | Devyne Rensch,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Edoardo Iannoni,Over 0.5,3.6,Open,Antal afslutninger på mål | Edoardo Iannoni,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Edoardo Iannoni,Over 1.5,14.5,Open,Antal afslutninger på mål | Edoardo Iannoni,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Edoardo Iannoni,Over 2.5,24.0,Open,Antal afslutninger på mål | Edoardo Iannoni,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Emanuele Lulli,Over 0.5,3.7,Open,Antal afslutninger på mål | Emanuele Lulli,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Emanuele Lulli,Over 1.5,15.0,Open,Antal afslutninger på mål | Emanuele Lulli,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Emanuele Lulli,Over 2.5,24.0,Open,Antal afslutninger på mål | Emanuele Lulli,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Evan Ferguson,Over 0.5,1.09,Open,Antal afslutninger på mål | Evan Ferguson,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Evan Ferguson,Over 1.5,1.52,Open,Antal afslutninger på mål | Evan Ferguson,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Evan Ferguson,Over 2.5,2.55,Open,Antal afslutninger på mål | Evan Ferguson,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Evan Ferguson,Over 3.5,4.9,Open,Antal afslutninger på mål | Evan Ferguson,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Evan Ferguson,Over 4.5,9.75,Open,Antal afslutninger på mål | Evan Ferguson,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Fali Cande,Over 0.5,6.1,Open,Antal afslutninger på mål | Fali Cande,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Fali Cande,Over 1.5,22.0,Open,Antal afslutninger på mål | Fali Cande,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Federico Nardin,Over 0.5,4.45,Open,Antal afslutninger på mål | Federico Nardin,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Federico Nardin,Over 1.5,18.0,Open,Antal afslutninger på mål | Federico Nardin,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Federico Nardin,Over 2.5,24.0,Open,Antal afslutninger på mål | Federico Nardin,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Gianluca Mancini,Over 0.5,4.35,Open,Antal afslutninger på mål | Gianluca Mancini,2026-01-10T17:00:00+00:00
AS Roma vs US Sassuolo Calcio,Gianluca Mancini,Over 1.5,17.5,Open,Antal afslutninger på mål | Gianluca Mancini,2026-01-10T17:00:00+00:00
