event,player,selectionLabel,odds_decimal_betinia,status_selection_betinia,marketLabel,deadline_x,odds_decimal_expekt,status_selection_expekt,deadline_y,odds_decimal_betano,status_selection_betano,deadline,payout_betinia,payout_expekt,payout_betano,ratio_betinia_over_expekt,ratio_expekt_over_betinia,ratio_betinia_over_betano,ratio_betano_over_betinia,ratio_expekt_over_betano,ratio_betano_over_expekt,best_payout,best_bookmaker,second_best_payout,ratio_best_over_second
Cameroun vs Marokko,Abde Ezzalzouli,Over 0.5,,,Antal afslutninger på mål | Abde Ezzalzouli,,1.4,Open,2026-01-09T19:00:00+00:00,,,,,1.4,,,,,,,,1.4,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 0.5,,,Spiller Frispark Begået | Abde Ezzalzouli,,1.33,Open,2026-01-09T19:00:00+00:00,,,,,1.33,,,,,,,,1.33,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 0.5,,,Spiller Frispark Tildelt | Abde Ezzalzouli,,1.14,Open,2026-01-09T19:00:00+00:00,,,,,1.14,,,,,,,,1.14,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 0.5,,,Spiller Offsides | Abde Ezzalzouli,,3.2,Open,2026-01-09T19:00:00+00:00,,,,,3.2,,,,,,,,3.2,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 0.5,,,Spillers samlede antal assister | Abde Ezzalzouli,,4.5,Open,2026-01-09T19:00:00+00:00,,,,,4.5,,,,,,,,4.5,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 0.5,,,Spillers samlede antal skud | Abde Ezzalzouli,,1.04,Open,2026-01-09T19:00:00+00:00,,,,,1.04,,,,,,,,1.04,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 0.5,,,Spillers samlede antal tacklinger | Abde Ezzalzouli,,1.17,Open,2026-01-09T19:00:00+00:00,,,,,1.17,,,,,,,,1.17,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 1.5,,,Antal afslutninger på mål | Abde Ezzalzouli,,3.1,Open,2026-01-09T19:00:00+00:00,,,,,3.1,,,,,,,,3.1,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 1.5,,,Spiller Frispark Begået | Abde Ezzalzouli,,2.7,Open,2026-01-09T19:00:00+00:00,,,,,2.7,,,,,,,,2.7,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 1.5,,,Spiller Frispark Tildelt | Abde Ezzalzouli,,1.75,Open,2026-01-09T19:00:00+00:00,,,,,1.75,,,,,,,,1.75,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 1.5,,,Spiller Offsides | Abde Ezzalzouli,,11.0,Open,2026-01-09T19:00:00+00:00,,,,,11.0,,,,,,,,11.0,Expekt,,
Cameroun vs Marokko,Abde Ezzalzouli,Over 1.5,,,Spillers samlede antal skud | Abde Ezzalzouli,,1.22,Open,2026-01-09T19:00:00+00:00,,,,,1.22,,,,,,,,1.22,Expekt,,
