event,player,selectionLabel,odds_decimal_betinia,status_selection_betinia,marketLabel,deadline_x,odds_decimal_expekt,status_selection_expekt,deadline_y,odds_decimal_betano,status_selection_betano,deadline,payout_betinia,payout_expekt,payout_betano,ratio_betinia_over_expekt,ratio_expekt_over_betinia,ratio_betinia_over_betano,ratio_betano_over_betinia,ratio_expekt_over_betano,ratio_betano_over_expekt,best_payout,best_bookmaker,second_best_payout,ratio_best_over_second
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 2.5,,,Spillers samlede antal skud | Yan Couto,,3.4,Open,2026-01-09T19:30:00+00:00,11.0,Open,2026-01-09T19:30:00+00:00,,3.4,11.0,,,,,0.3090909090909091,3.235294117647059,11.0,Betano,3.4,3.235294117647059
Getafe CF vs Real Sociedad,Allan Nyom,Over 2.5,,,Spillers samlede antal skud | Allan Nyom,,2.88,Open,2026-01-09T20:00:00+00:00,9.25,Open,2026-01-09T20:00:00+00:00,,2.88,9.25,,,,,0.31135135135135134,3.211805555555556,9.25,Betano,2.88,3.211805555555556
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 2.5,7.5,Open,Spillers samlede antal tacklinger | Ansgar Knauff,nan,2.38,Open,2026-01-09T19:30:00+00:00,,,,7.5,2.38,,3.151260504201681,0.3173333333333333,,,,,7.5,Betinia,2.38,3.151260504201681
Getafe CF vs Real Sociedad,Juan Iglesias,Over 0.5,,,Antal afslutninger på mål | Juan Iglesias,,2.15,Open,2026-01-09T20:00:00+00:00,6.4,Open,2026-01-09T20:00:00+00:00,,2.15,6.4,,,,,0.33593749999999994,2.976744186046512,6.4,Betano,2.15,2.976744186046512
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 2.5,6.6667,Open,Spillers samlede antal tacklinger | Karim Adeyemi,nan,2.4,Open,2026-01-09T19:30:00+00:00,,,,6.6667,2.4,,2.7777916666666664,0.35999820000899996,,,,,6.6667,Betinia,2.4,2.7777916666666664
Cameroun vs Marokko,Bryan Mbeumo,Over 2.5,,,Spillers samlede antal skud | Bryan Mbeumo,,2.2,Open,2026-01-09T19:00:00+00:00,6.0,Open,2026-01-09T19:00:00+00:00,,2.2,6.0,,,,,0.3666666666666667,2.727272727272727,6.0,Betano,2.2,2.727272727272727
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 1.5,3.6667,Open,Spillers samlede antal tacklinger | Ansgar Knauff,nan,1.4,Open,2026-01-09T19:30:00+00:00,,,,3.6667,1.4,,2.619071428571429,0.38181471077535656,,,,,3.6667,Betinia,1.4,2.619071428571429
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 1.5,3.6,Open,Spillers samlede antal tacklinger | Karim Adeyemi,nan,1.44,Open,2026-01-09T19:30:00+00:00,,,,3.6,1.44,,2.5,0.39999999999999997,,,,,3.6,Betinia,1.44,2.5
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 1.5,,,Spillers samlede antal skud | Yan Couto,,1.73,Open,2026-01-09T19:30:00+00:00,4.15,Open,2026-01-09T19:30:00+00:00,,1.73,4.15,,,,,0.41686746987951806,2.3988439306358385,4.15,Betano,1.73,2.3988439306358385
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 1.5,4.0,Open,Spillers samlede antal tacklinger | Jessic Ngankam,nan,1.73,Open,2026-01-09T19:30:00+00:00,,,,4.0,1.73,,2.3121387283236996,0.4325,,,,,4.0,Betinia,1.73,2.3121387283236996
Getafe CF vs Real Sociedad,Allan Nyom,Over 1.5,,,Spillers samlede antal skud | Allan Nyom,,1.57,Open,2026-01-09T20:00:00+00:00,3.6,Open,2026-01-09T20:00:00+00:00,,1.57,3.6,,,,,0.4361111111111111,2.2929936305732483,3.6,Betano,1.57,2.2929936305732483
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 1.5,2.8572,Open,Spillers samlede antal skud | Nathaniel Brown,nan,1.91,Open,2026-01-09T19:30:00+00:00,6.5,Open,2026-01-09T19:30:00+00:00,2.8572,1.91,6.5,1.4959162303664923,0.6684866302673946,0.4395692307692308,2.2749545009099816,0.2938461538461538,3.4031413612565444,6.5,Betano,2.8572,2.2749545009099816
Cameroun vs Marokko,Bryan Mbeumo,Yes,,,Spiller får kort | Bryan Mbeumo,,6.0,Open,2026-01-09T19:00:00+00:00,2.65,Open,2026-01-09T19:00:00+00:00,,6.0,2.65,,,,,2.2641509433962264,0.44166666666666665,6.0,Expekt,2.65,2.2641509433962264
Getafe CF vs Real Sociedad,Juan Iglesias,Over 1.5,,,Spillers samlede antal skud | Juan Iglesias,,1.95,Open,2026-01-09T20:00:00+00:00,4.4,Open,2026-01-09T20:00:00+00:00,,1.95,4.4,,,,,0.4431818181818181,2.256410256410257,4.4,Betano,1.95,2.256410256410257
Cameroun vs Marokko,Ismael Saibari,Yes,,,Spiller får kort | Ismael Saibari,,7.5,Open,2026-01-09T19:00:00+00:00,3.4,Open,2026-01-09T19:00:00+00:00,,7.5,3.4,,,,,2.2058823529411766,0.4533333333333333,7.5,Expekt,3.4,2.2058823529411766
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 2.5,7.5,Open,Spillers samlede antal tacklinger | Jessic Ngankam,nan,3.4,Open,2026-01-09T19:30:00+00:00,,,,7.5,3.4,,2.2058823529411766,0.4533333333333333,,,,,7.5,Betinia,3.4,2.2058823529411766
Cameroun vs Marokko,Olivier Kemen,Over 1.5,,,Spillers samlede antal skud | Olivier Kemen,,1.83,Open,2026-01-09T19:00:00+00:00,3.95,Open,2026-01-09T19:00:00+00:00,,1.83,3.95,,,,,0.4632911392405063,2.158469945355191,3.95,Betano,1.83,2.158469945355191
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 1.5,1.9,Open,Spiller Frispark Begået | Aurele Amenda,nan,4.0,Open,2026-01-09T19:30:00+00:00,,,,1.9,4.0,,0.475,2.1052631578947367,,,,,4.0,Expekt,1.9,2.1052631578947367
Cameroun vs Marokko,Frank Magri,Over 2.5,,,Spillers samlede antal skud | Frank Magri,,2.6,Open,2026-01-09T19:00:00+00:00,5.4,Open,2026-01-09T19:00:00+00:00,,2.6,5.4,,,,,0.48148148148148145,2.076923076923077,5.4,Betano,2.6,2.076923076923077
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 0.5,,,Antal afslutninger på mål | Yan Couto,,1.83,Open,2026-01-09T19:30:00+00:00,3.8,Open,2026-01-09T19:30:00+00:00,,1.83,3.8,,,,,0.4815789473684211,2.076502732240437,3.8,Betano,1.83,2.076502732240437
Cameroun vs Marokko,Ayoub El Kaabi,Over 5.5,,,Spillers samlede antal skud | Ayoub El Kaabi,,3.25,Open,2026-01-09T19:00:00+00:00,6.7,Open,2026-01-09T19:00:00+00:00,,3.25,6.7,,,,,0.48507462686567165,2.0615384615384618,6.7,Betano,3.25,2.0615384615384618
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 3.5,2.6,Open,Spillers samlede antal skud | Younes Ebnoutalib,nan,3.0,Open,2026-01-09T19:30:00+00:00,6.1,Open,2026-01-09T19:30:00+00:00,2.6,3.0,6.1,0.8666666666666667,1.1538461538461537,0.42622950819672134,2.346153846153846,0.49180327868852464,2.033333333333333,6.1,Betano,3.0,2.033333333333333
Eintracht Frankfurt vs Borussia Dortmund,Filippo Calixte Mane,Over 1.5,3.4,Open,Spillers samlede antal skud | Filippo Calixte Mane,nan,,,,6.9,Open,2026-01-09T19:30:00+00:00,3.4,,6.9,,,0.49275362318840576,2.0294117647058827,,,6.9,Betano,3.4,2.0294117647058827
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 2.5,,,Spillers samlede antal skud | Mario Gotze,,2.3,Open,2026-01-09T19:30:00+00:00,4.6,Open,2026-01-09T19:30:00+00:00,,2.3,4.6,,,,,0.5,2.0,4.6,Betano,2.3,2.0
Getafe CF vs Real Sociedad,Juanmi,Over 2.5,,,Spillers samlede antal skud | Juanmi,,2.38,Open,2026-01-09T20:00:00+00:00,4.7,Open,2026-01-09T20:00:00+00:00,,2.38,4.7,,,,,0.5063829787234042,1.9747899159663866,4.7,Betano,2.38,1.9747899159663866
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 3.5,3.1,Open,Spillers samlede antal skud | Jessic Ngankam,nan,3.1,Open,2026-01-09T19:30:00+00:00,6.1,Open,2026-01-09T19:30:00+00:00,3.1,3.1,6.1,1.0,1.0,0.5081967213114754,1.9677419354838708,0.5081967213114754,1.9677419354838708,6.1,Betano,3.1,1.9677419354838708
Cameroun vs Marokko,Youssef En-Nesyri,Over 4.5,,,Spillers samlede antal skud | Youssef En-Nesyri,,3.5,Open,2026-01-09T19:00:00+00:00,6.8,Open,2026-01-09T19:00:00+00:00,,3.5,6.8,,,,,0.5147058823529412,1.9428571428571428,6.8,Betano,3.5,1.9428571428571428
