event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Algeriet vs Nigeria,Adem Zorgane,Over 0.5,3.25,Open,Antal afslutninger på mål | Adem Zorgane,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Adem Zorgane,Over 1.5,13.0,Open,Antal afslutninger på mål | Adem Zorgane,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Ademola Lookman,Over 0.5,1.36,Open,Antal afslutninger på mål | Ademola Lookman,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Ademola Lookman,Over 1.5,3.0,Open,Antal afslutninger på mål | Ademola Lookman,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Ademola Lookman,Over 2.5,7.0,Open,Antal afslutninger på mål | Ademola Lookman,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Ademola Lookman,Over 3.5,17.0,Open,Antal afslutninger på mål | Ademola Lookman,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Aissa Mandi,Over 0.5,5.0,Open,Antal afslutninger på mål | Aissa Mandi,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Akor Adams,Over 0.5,1.33,Open,Antal afslutninger på mål | Akor Adams,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Akor Adams,Over 1.5,2.75,Open,Antal afslutninger på mål | Akor Adams,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Akor Adams,Over 2.5,6.5,Open,Antal afslutninger på mål | Akor Adams,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Akor Adams,Over 3.5,15.0,Open,Antal afslutninger på mål | Akor Adams,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Alex Iwobi,Over 0.5,1.62,Open,Antal afslutninger på mål | Alex Iwobi,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Alex Iwobi,Over 1.5,4.33,Open,Antal afslutninger på mål | Alex Iwobi,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Alex Iwobi,Over 2.5,11.0,Open,Antal afslutninger på mål | Alex Iwobi,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Baghdad Bounedjah,Over 0.5,1.5,Open,Antal afslutninger på mål | Baghdad Bounedjah,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Baghdad Bounedjah,Over 1.5,3.6,Open,Antal afslutninger på mål | Baghdad Bounedjah,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Baghdad Bounedjah,Over 2.5,8.5,Open,Antal afslutninger på mål | Baghdad Bounedjah,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Bright Osayi-Samuel,Over 0.5,3.8,Open,Antal afslutninger på mål | Bright Osayi-Samuel,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Bright Osayi-Samuel,Over 1.5,15.0,Open,Antal afslutninger på mål | Bright Osayi-Samuel,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Calvin Bassey,Over 0.5,5.5,Open,Antal afslutninger på mål | Calvin Bassey,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Chidera Ejuke,Over 0.5,1.7,Open,Antal afslutninger på mål | Chidera Ejuke,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Chidera Ejuke,Over 1.5,4.5,Open,Antal afslutninger på mål | Chidera Ejuke,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Chidera Ejuke,Over 2.5,12.0,Open,Antal afslutninger på mål | Chidera Ejuke,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Chidozie Awaziem,Over 0.5,5.5,Open,Antal afslutninger på mål | Chidozie Awaziem,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Cyriel Dessers,Over 0.5,1.36,Open,Antal afslutninger på mål | Cyriel Dessers,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Cyriel Dessers,Over 1.5,3.0,Open,Antal afslutninger på mål | Cyriel Dessers,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Cyriel Dessers,Over 2.5,7.0,Open,Antal afslutninger på mål | Cyriel Dessers,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Cyriel Dessers,Over 3.5,17.0,Open,Antal afslutninger på mål | Cyriel Dessers,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Ebenezer Akinsanmiro,Over 0.5,2.2,Open,Antal afslutninger på mål | Ebenezer Akinsanmiro,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Ebenezer Akinsanmiro,Over 1.5,7.0,Open,Antal afslutninger på mål | Ebenezer Akinsanmiro,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Fares Chaibi,Over 0.5,1.83,Open,Antal afslutninger på mål | Fares Chaibi,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Fares Chaibi,Over 1.5,5.0,Open,Antal afslutninger på mål | Fares Chaibi,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Fares Chaibi,Over 2.5,15.0,Open,Antal afslutninger på mål | Fares Chaibi,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Fisayo Dele-Bashiru,Over 0.5,1.83,Open,Antal afslutninger på mål | Fisayo Dele-Bashiru,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Fisayo Dele-Bashiru,Over 1.5,5.5,Open,Antal afslutninger på mål | Fisayo Dele-Bashiru,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Fisayo Dele-Bashiru,Over 2.5,15.0,Open,Antal afslutninger på mål | Fisayo Dele-Bashiru,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Frank Onyeka,Over 0.5,2.88,Open,Antal afslutninger på mål | Frank Onyeka,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Frank Onyeka,Over 1.5,10.0,Open,Antal afslutninger på mål | Frank Onyeka,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Hichem Boudaoui,Over 0.5,2.8,Open,Antal afslutninger på mål | Hichem Boudaoui,2026-01-10T16:00:00+00:00
Algeriet vs Nigeria,Hichem Boudaoui,Over 1.5,10.0,Open,Antal afslutninger på mål | Hichem Boudaoui,2026-01-10T16:00:00+00:00
