selectionLabel,odds_decimal,status_selection,marketLabel,deadline,player,line
Over 0.5,1.24,Open,Spiller Frispark Begået | Jurrien Timber,2026-01-08T20:00:00Z,Jurrien Timber,0.5
Over 2.5,4.25,Open,Spiller Frispark Begået | Jurrien Timber,2026-01-08T20:00:00Z,Jurrien Timber,2.5
Over 1.5,2.15,Open,Spiller Frispark Begået | Jurrien Timber,2026-01-08T20:00:00Z,Jurrien Timber,1.5
Over 2.5,6.0,Open,Spiller Frispark Begået | Carter Pinnington,2026-01-08T20:00:00Z,Carter Pinnington,2.5
Over 0.5,1.35,Open,Spiller Frispark Begået | Carter Pinnington,2026-01-08T20:00:00Z,Carter Pinnington,0.5
Over 0.5,1.6,Open,Spiller Frispark Begået | Rhys Williams,2026-01-08T20:00:00Z,Rhys Williams,0.5
Over 1.5,2.65,Open,Spiller Frispark Begået | Carter Pinnington,2026-01-08T20:00:00Z,Carter Pinnington,1.5
Over 1.5,3.7,Open,Spiller Frispark Begået | Rhys Williams,2026-01-08T20:00:00Z,Rhys Williams,1.5
Over 0.5,1.3,Open,Spiller Frispark Begået | Federico Chiesa,2026-01-08T20:00:00Z,Federico Chiesa,0.5
Over 2.5,5.0,Open,Spiller Frispark Begået | Federico Chiesa,2026-01-08T20:00:00Z,Federico Chiesa,2.5
Over 1.5,2.35,Open,Spiller Frispark Begået | Federico Chiesa,2026-01-08T20:00:00Z,Federico Chiesa,1.5
Over 1.5,3.7,Open,Spiller Frispark Begået | Declan Rice,2026-01-08T20:00:00Z,Declan Rice,1.5
Over 0.5,1.6,Open,Spiller Frispark Begået | Declan Rice,2026-01-08T20:00:00Z,Declan Rice,0.5
Over 1.5,2.3,Open,Spiller Frispark Begået | Wellity Lucky,2026-01-08T20:00:00Z,Wellity Lucky,1.5
Over 0.5,1.28,Open,Spiller Frispark Begået | Wellity Lucky,2026-01-08T20:00:00Z,Wellity Lucky,0.5
Over 0.5,1.27,Open,Spiller Frispark Begået | Cody Gakpo,2026-01-08T20:00:00Z,Cody Gakpo,0.5
Over 2.5,4.75,Open,Spiller Frispark Begået | Cody Gakpo,2026-01-08T20:00:00Z,Cody Gakpo,2.5
Over 1.5,2.25,Open,Spiller Frispark Begået | Cody Gakpo,2026-01-08T20:00:00Z,Cody Gakpo,1.5
Over 0.5,1.55,Open,Spiller Frispark Begået | Milos Kerkez,2026-01-08T20:00:00Z,Milos Kerkez,0.5
Over 1.5,3.4,Open,Spiller Frispark Begået | Milos Kerkez,2026-01-08T20:00:00Z,Milos Kerkez,1.5
Over 1.5,3.0,Open,Spiller Frispark Begået | Viktor Gyökeres,2026-01-08T20:00:00Z,Viktor Gyökeres,1.5
Over 0.5,1.45,Open,Spiller Frispark Begået | Viktor Gyökeres,2026-01-08T20:00:00Z,Viktor Gyökeres,0.5
Over 0.5,1.22,Open,Spiller Frispark Begået | Tommy Pilling,2026-01-08T20:00:00Z,Tommy Pilling,0.5
Over 1.5,2.05,Open,Spiller Frispark Begået | Tommy Pilling,2026-01-08T20:00:00Z,Tommy Pilling,1.5
Over 2.5,4.0,Open,Spiller Frispark Begået | Tommy Pilling,2026-01-08T20:00:00Z,Tommy Pilling,2.5
Over 0.5,1.45,Open,Spiller Frispark Begået | Jayden Danns,2026-01-08T20:00:00Z,Jayden Danns,0.5
Over 1.5,3.0,Open,Spiller Frispark Begået | Jayden Danns,2026-01-08T20:00:00Z,Jayden Danns,1.5
Over 0.5,1.38,Open,Spiller Frispark Begået | Piero Hincapie,2026-01-08T20:00:00Z,Piero Hincapie,0.5
Over 1.5,2.7,Open,Spiller Frispark Begået | Piero Hincapie,2026-01-08T20:00:00Z,Piero Hincapie,1.5
Over 2.5,6.0,Open,Spiller Frispark Begået | Piero Hincapie,2026-01-08T20:00:00Z,Piero Hincapie,2.5
Over 2.5,3.4,Open,Spiller Frispark Begået | Hugo Ekitike,2026-01-08T20:00:00Z,Hugo Ekitike,2.5
Over 1.5,1.82,Open,Spiller Frispark Begået | Hugo Ekitike,2026-01-08T20:00:00Z,Hugo Ekitike,1.5
Over 0.5,1.16,Open,Spiller Frispark Begået | Hugo Ekitike,2026-01-08T20:00:00Z,Hugo Ekitike,0.5
Over 0.5,1.14,Open,Spiller Frispark Begået | Christian Nørgaard,2026-01-08T20:00:00Z,Christian Nørgaard,0.5
Over 1.5,1.75,Open,Spiller Frispark Begået | Christian Nørgaard,2026-01-08T20:00:00Z,Christian Nørgaard,1.5
Over 2.5,3.2,Open,Spiller Frispark Begået | Christian Nørgaard,2026-01-08T20:00:00Z,Christian Nørgaard,2.5
Over 1.5,1.9,Open,Spiller Frispark Begået | Kai Havertz,2026-01-08T20:00:00Z,Kai Havertz,1.5
Over 0.5,1.18,Open,Spiller Frispark Begået | Kai Havertz,2026-01-08T20:00:00Z,Kai Havertz,0.5
Over 2.5,3.7,Open,Spiller Frispark Begået | Kai Havertz,2026-01-08T20:00:00Z,Kai Havertz,2.5
Over 2.5,4.0,Open,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00Z,Alexis Mac Allister,2.5
Over 0.5,1.22,Open,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00Z,Alexis Mac Allister,0.5
Over 1.5,2.05,Open,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00Z,Alexis Mac Allister,1.5
Over 1.5,2.75,Open,Spiller Frispark Begået | Calvin Ramsay,2026-01-08T20:00:00Z,Calvin Ramsay,1.5
