event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Arsenal vs Liverpool,Alexis Mac Allister,Over 0.5,1.22,Open,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Alexis Mac Allister,Over 1.5,2.05,Open,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Alexis Mac Allister,Over 2.5,4.0,Open,Spiller Frispark Begået | Alexis Mac Allister,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Amara Nallo,Over 0.5,1.35,Open,Spiller Frispark Begået | Amara Nallo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Amara Nallo,Over 1.5,2.65,Open,Spiller Frispark Begået | Amara Nallo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Amara Nallo,Over 2.5,6.0,Open,Spiller Frispark Begået | Amara Nallo,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 0.5,1.35,Open,Spiller Frispark Begået | Andre HarrimanAnnous,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 1.5,2.65,Open,Spiller Frispark Begået | Andre HarrimanAnnous,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Andre HarrimanAnnous,Over 2.5,6.0,Open,Spiller Frispark Begået | Andre HarrimanAnnous,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Andrew Robertson,Over 0.5,1.65,Open,Spiller Frispark Begået | Andrew Robertson,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Andrew Robertson,Over 1.5,4.0,Open,Spiller Frispark Begået | Andrew Robertson,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ben White,Over 0.5,1.48,Open,Spiller Frispark Begået | Ben White,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ben White,Over 1.5,3.2,Open,Spiller Frispark Begået | Ben White,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Bukayo Saka,Over 0.5,1.35,Open,Spiller Frispark Begået | Bukayo Saka,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Bukayo Saka,Over 1.5,2.65,Open,Spiller Frispark Begået | Bukayo Saka,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Bukayo Saka,Over 2.5,6.0,Open,Spiller Frispark Begået | Bukayo Saka,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Calvin Ramsay,Over 0.5,1.4,Open,Spiller Frispark Begået | Calvin Ramsay,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Calvin Ramsay,Over 1.5,2.75,Open,Spiller Frispark Begået | Calvin Ramsay,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Carter Pinnington,Over 0.5,1.35,Open,Spiller Frispark Begået | Carter Pinnington,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Carter Pinnington,Over 1.5,2.65,Open,Spiller Frispark Begået | Carter Pinnington,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Carter Pinnington,Over 2.5,6.0,Open,Spiller Frispark Begået | Carter Pinnington,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Charles Sagoe Jr,Over 0.5,1.65,Open,Spiller Frispark Begået | Charles Sagoe Jr,2026-01-08T20:00:00Z
