event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Roma vs Sassuolo,Alessandro Arena,Over 0.5,1.58,Open,Antal afslutninger på mål | Alessandro Arena,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Alessandro Arena,Over 1.5,1.19,Open,Antal afslutninger på mål | Alessandro Arena,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Alieu Fadera,Over 0.5,1.2,Open,Antal afslutninger på mål | Alieu Fadera,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Andrea Pinamonti,Over 0.5,1.73,Open,Antal afslutninger på mål | Andrea Pinamonti,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Andrea Pinamonti,Over 1.5,1.13,Open,Antal afslutninger på mål | Andrea Pinamonti,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Over 0.5,1.64,Open,Antal afslutninger på mål | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Over 1.5,1.06,Open,Antal afslutninger på mål | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Aster Vranckx,Over 0.5,1.13,Open,Antal afslutninger på mål | Aster Vranckx,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniel Boloca,Over 0.5,1.17,Open,Antal afslutninger på mål | Daniel Boloca,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniele Ghilardi,Over 0.5,1.08,Open,Antal afslutninger på mål | Daniele Ghilardi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Devyne Rensch,Over 0.5,1.18,Open,Antal afslutninger på mål | Devyne Rensch,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Devyne Rensch,Over 1.5,19.0,Open,Antal afslutninger på mål | Devyne Rensch,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Over 0.5,1.44,Open,Antal afslutninger på mål | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Over 1.5,1.26,Open,Antal afslutninger på mål | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Over 2.5,1.01,Open,Antal afslutninger på mål | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Gianluca Mancini,Over 0.5,1.12,Open,Antal afslutninger på mål | Gianluca Mancini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jan Ziolkowski,Over 0.5,1.16,Open,Antal afslutninger på mål | Jan Ziolkowski,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jan Ziolkowski,Over 1.5,21.0,Open,Antal afslutninger på mål | Jan Ziolkowski,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kouadio Kone,Over 0.5,1.32,Open,Antal afslutninger på mål | Kouadio Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Laurs Skjellerup,Over 0.5,1.41,Open,Antal afslutninger på mål | Laurs Skjellerup,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Laurs Skjellerup,Over 1.5,7.5,Open,Antal afslutninger på mål | Laurs Skjellerup,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Over 0.5,1.65,Open,Antal afslutninger på mål | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Over 1.5,1.15,Open,Antal afslutninger på mål | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Neil El Aynaoui,Over 0.5,1.44,Open,Antal afslutninger på mål | Neil El Aynaoui,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Niccolò Pisilli,Over 0.5,1.49,Open,Antal afslutninger på mål | Niccolò Pisilli,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nicholas Pierini,Over 0.5,1.49,Open,Antal afslutninger på mål | Nicholas Pierini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nicholas Pierini,Over 1.5,1.02,Open,Antal afslutninger på mål | Nicholas Pierini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Paulo Dybala,Over 0.5,1.36,Open,Antal afslutninger på mål | Paulo Dybala,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Paulo Dybala,Over 1.5,1.34,Open,Antal afslutninger på mål | Paulo Dybala,2026-01-10T17:00:00+00:00
