selectionLabel,odds_decimal,status_selection,marketLabel,deadline,player,line
Over 2.5,6.0,Open,Spillers samlede antal skud | Rio Ngumoha,2026-01-08T20:00:00Z,Rio Ngumoha,
Over 0.5,1.38,Open,Spillers samlede antal skud | Rio Ngumoha,2026-01-08T20:00:00Z,Rio Ngumoha,
Over 1.5,2.7,Open,Spillers samlede antal skud | Rio Ngumoha,2026-01-08T20:00:00Z,Rio Ngumoha,
Over 0.5,1.16,Open,Spillers samlede antal skud | Declan Rice,2026-01-08T20:00:00Z,Declan Rice,
Over 1.5,1.78,Open,Spillers samlede antal skud | Declan Rice,2026-01-08T20:00:00Z,Declan Rice,
Over 2.5,3.2,Open,Spillers samlede antal skud | Declan Rice,2026-01-08T20:00:00Z,Declan Rice,
Over 3.5,3.7,Open,Spillers samlede antal skud | Leandro Trossard,2026-01-08T20:00:00Z,Leandro Trossard,
Over 1.5,1.38,Open,Spillers samlede antal skud | Leandro Trossard,2026-01-08T20:00:00Z,Leandro Trossard,
Over 2.5,2.1,Open,Spillers samlede antal skud | Leandro Trossard,2026-01-08T20:00:00Z,Leandro Trossard,
Over 1.5,2.75,Open,Spillers samlede antal skud | Christian Nørgaard,2026-01-08T20:00:00Z,Christian Nørgaard,
Over 2.5,6.0,Open,Spillers samlede antal skud | Christian Nørgaard,2026-01-08T20:00:00Z,Christian Nørgaard,
Over 0.5,1.4,Open,Spillers samlede antal skud | Christian Nørgaard,2026-01-08T20:00:00Z,Christian Nørgaard,
Over 3.5,2.75,Open,Spillers samlede antal skud | Noni Madueke,2026-01-08T20:00:00Z,Noni Madueke,
Over 2.5,1.72,Open,Spillers samlede antal skud | Noni Madueke,2026-01-08T20:00:00Z,Noni Madueke,
Over 1.5,1.24,Open,Spillers samlede antal skud | Noni Madueke,2026-01-08T20:00:00Z,Noni Madueke,
Over 2.5,2.2,Open,Spillers samlede antal skud | Mikel Merino,2026-01-08T20:00:00Z,Mikel Merino,
Over 1.5,1.42,Open,Spillers samlede antal skud | Mikel Merino,2026-01-08T20:00:00Z,Mikel Merino,
Over 3.5,3.9,Open,Spillers samlede antal skud | Mikel Merino,2026-01-08T20:00:00Z,Mikel Merino,
Over 1.5,1.32,Open,Spillers samlede antal skud | Gabriel Martinelli,2026-01-08T20:00:00Z,Gabriel Martinelli,
Over 2.5,2.0,Open,Spillers samlede antal skud | Gabriel Martinelli,2026-01-08T20:00:00Z,Gabriel Martinelli,
Over 3.5,3.4,Open,Spillers samlede antal skud | Gabriel Martinelli,2026-01-08T20:00:00Z,Gabriel Martinelli,
Over 3.5,2.45,Open,Spillers samlede antal skud | Kai Havertz,2026-01-08T20:00:00Z,Kai Havertz,
